,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
49,T1,24/09/17,Bursaspor,Galatasaray,1,2,A,1,0,H,7,11,5,6,11,15,6,9,0,2,0,0
50,T1,24/09/17,Karabukspor,Yeni Malatyaspor,2,4,A,0,3,A,12,6,5,5,24,12,4,4,2,2,0,0
51,T1,24/09/17,Kasimpasa,Kayserispor,1,1,D,1,0,H,10,7,5,4,17,11,2,5,1,1,0,0
52,T1,24/09/17,Sivasspor,Goztep,2,3,A,1,2,A,7,11,4,8,7,14,6,2,0,1,1,0
53,T1,25/09/17,Antalyaspor,Osmanlispor,3,0,H,2,0,H,7,9,6,4,22,15,4,3,4,3,1,0
54,T1,29/09/17,Akhisar Belediyespor,Fenerbahce,1,0,H,0,0,D,8,5,3,1,19,16,3,3,3,5,0,2
55,T1,30/09/17,Galatasaray,Karabukspor,3,2,H,2,1,H,12,7,7,5,12,9,8,3,4,3,0,0
56,T1,30/09/17,Kayserispor,Bursaspor,3,1,H,1,1,D,9,7,4,2,12,11,5,7,1,2,0,0
57,T1,30/09/17,Osmanlispor,Kasimpasa,3,0,H,2,0,H,10,4,6,0,20,19,4,3,2,2,0,0
58,T1,30/09/17,Sivasspor,Antalyaspor,3,1,H,3,0,H,8,14,4,7,16,22,4,3,2,5,1,0
59,T1,01/10/17,Alanyaspor,Genclerbirligi,4,1,H,2,0,H,13,6,7,3,9,20,2,4,2,4,1,0
60,T1,01/10/17,Besiktas,Trabzonspor,2,2,D,1,1,D,9,10,3,7,17,20,1,4,4,4,0,0
61,T1,01/10/17,Goztep,Buyuksehyr,1,2,A,0,2,A,15,5,7,3,11,11,8,4,0,0,0,0
62,T1,01/10/17,Yeni Malatyaspor,Konyaspor,1,1,D,0,1,A,4,6,1,2,15,22,3,2,5,2,1,0
63,T1,13/10/17,Genclerbirligi,Besiktas,2,1,H,1,0,H,9,8,5,2,20,10,4,9,3,0,0,1
64,T1,14/10/17,Antalyaspor,Goztep,1,3,A,1,2,A,10,11,5,4,12,13,5,2,4,3,1,0
65,T1,14/10/17,Buyuksehyr,Alanyaspor,2,1,H,1,1,D,10,12,6,7,10,10,6,4,2,1,0,0
66,T1,14/10/17,Karabukspor,Kayserispor,1,0,H,0,0,D,6,11,5,5,26,15,4,5,5,1,1,0
67,T1,14/10/17,Konyaspor,Galatasaray,0,2,A,0,0,D,5,6,0,4,10,8,6,5,2,1,0,0
68,T1,15/10/17,Fenerbahce,Yeni Malatyaspor,3,1,H,3,0,H,16,7,10,2,21,14,7,4,1,1,0,0
69,T1,15/10/17,Kasimpasa,Sivasspor,2,3,A,1,0,H,8,11,3,5,15,17,6,5,4,4,0,0
70,T1,15/10/17,Trabzonspor,Akhisar Belediyespor,1,6,A,0,3,A,8,12,3,8,12,11,6,2,1,2,0,0
71,T1,16/10/17,Bursaspor,Osmanlispor,3,1,H,2,1,H,7,8,3,4,14,13,5,8,2,4,1,0
72,T1,20/10/17,Antalyaspor,Kasimpasa,2,1,H,1,1,D,13,8,8,2,17,14,6,5,4,5,0,1
73,T1,20/10/17,Goztep,Alanyaspor,3,3,D,1,0,H,10,9,4,5,12,15,4,9,1,5,0,0
74,T1,21/10/17,Akhisar Belediyespor,Genclerbirligi,3,3,D,1,3,A,6,5,4,5,14,14,2,3,0,3,0,1
75,T1,21/10/17,Osmanlispor,Karabukspor,3,0,H,0,0,D,9,8,5,4,11,17,2,5,2,1,0,0
76,T1,21/10/17,Yeni Malatyaspor,Trabzonspor,1,0,H,1,0,H,10,9,2,4,18,17,5,2,3,5,0,2
77,T1,22/10/17,Galatasaray,Fenerbahce,0,0,D,0,0,D,10,4,7,0,20,14,8,6,5,2,1,0
78,T1,22/10/17,Kayserispor,Konyaspor,2,1,H,0,0,D,19,8,8,4,15,7,4,3,0,2,0,0
79,T1,22/10/17,Sivasspor,Bursaspor,0,0,D,0,0,D,10,9,3,3,12,13,5,4,1,2,0,0
80,T1,23/10/17,Besiktas,Buyuksehyr,1,1,D,0,0,D,13,9,3,5,12,12,9,5,5,2,0,0
81,T1,27/10/17,Kasimpasa,Goztep,3,1,H,1,0,H,14,6,6,2,11,9,5,3,1,0,0,0
82,T1,28/10/17,Alanyaspor,Besiktas,1,2,A,1,1,D,7,11,3,5,17,9,7,11,3,1,0,0
83,T1,28/10/17,Buyuksehyr,Akhisar Belediyespor,2,1,H,1,0,H,8,7,4,4,6,11,5,2,2,3,0,0
84,T1,28/10/17,Genclerbirligi,Yeni Malatyaspor,0,1,A,0,0,D,5,6,1,2,16,12,2,4,1,4,1,0
85,T1,29/10/17,Bursaspor,Antalyaspor,4,0,H,1,0,H,8,5,6,1,9,9,4,5,0,0,0,1
86,T1,29/10/17,Karabukspor,Sivasspor,0,1,A,0,0,D,11,3,4,1,12,15,11,1,4,0,0,0
87,T1,29/10/17,Konyaspor,Osmanlispor,1,0,H,0,0,D,5,2,2,1,14,9,8,2,2,2,0,0
88,T1,29/10/17,Trabzonspor,Galatasaray,2,1,H,0,0,D,12,3,6,2,15,20,4,2,0,5,1,2
89,T1,30/10/17,Fenerbahce,Kayserispor,3,3,D,1,1,D,12,7,5,4,13,14,6,6,3,1,0,0
90,T1,03/11/17,Galatasaray,Genclerbirligi,5,1,H,2,0,H,15,8,8,5,13,16,4,7,1,5,0,0
91,T1,04/11/17,Antalyaspor,Karabukspor,2,1,H,1,0,H,12,10,10,3,15,11,3,9,3,2,0,1
92,T1,04/11/17,Kasimpasa,Bursaspor,2,2,D,2,0,H,13,13,9,5,7,12,1,4,2,3,1,0
93,T1,04/11/17,Kayserispor,Trabzonspor,0,0,D,0,0,D,11,3,4,0,10,25,9,1,2,3,0,0
94,T1,04/11/17,Osmanlispor,Fenerbahce,1,1,D,0,1,A,12,5,5,4,8,21,6,11,2,5,0,0
95,T1,05/11/17,Akhisar Belediyespor,Alanyaspor,0,4,A,0,2,A,5,14,4,7,10,13,3,6,2,2,0,0
96,T1,05/11/17,Goztep,Besiktas,1,3,A,0,1,A,8,15,7,6,15,15,8,3,1,1,1,0
97,T1,05/11/17,Sivasspor,Konyaspor,2,1,H,1,1,D,13,9,11,5,11,17,7,2,0,2,0,0
98,T1,05/11/17,Yeni Malatyaspor,Buyuksehyr,0,2,A,0,1,A,7,10,2,4,14,14,2,8,1,2,0,0
99,T1,17/11/17,Besiktas,Akhisar Belediyespor,0,0,D,0,0,D,14,4,4,3,16,15,11,5,4,6,0,1
100,T1,18/11/17,Bursaspor,Goztep,0,0,D,0,0,D,11,9,2,2,4,16,11,5,0,3,0,0
101,T1,18/11/17,Buyuksehyr,Galatasaray,5,1,H,2,0,H,6,12,5,6,10,9,4,5,0,2,0,0
102,T1,18/11/17,Konyaspor,Antalyaspor,1,1,D,0,0,D,15,9,5,3,8,9,7,5,2,2,0,0
103,T1,19/11/17,Alanyaspor,Yeni Malatyaspor,1,0,H,0,0,D,8,9,5,6,17,12,8,2,1,2,0,0
104,T1,19/11/17,Fenerbahce,Sivasspor,4,1,H,1,0,H,11,4,6,1,15,15,8,3,3,6,0,1
105,T1,19/11/17,Genclerbirligi,Kayserispor,1,2,A,1,1,D,9,10,3,6,16,19,4,8,0,3,0,0
106,T1,19/11/17,Trabzonspor,Osmanlispor,4,3,H,2,2,D,17,7,10,5,16,12,6,4,4,4,0,0
107,T1,20/11/17,Karabukspor,Kasimpasa,0,2,A,0,0,D,9,6,2,4,12,11,6,4,1,3,0,0
108,T1,24/11/17,Osmanlispor,Genclerbirligi,2,0,H,1,0,H,4,9,3,2,19,11,1,9,1,1,0,0
109,T1,25/11/17,Galatasaray,Alanyaspor,2,0,H,1,0,H,13,3,9,0,19,16,9,3,1,5,0,0
110,T1,25/11/17,Goztep,Akhisar Belediyespor,2,0,H,0,0,D,10,5,7,0,12,11,12,2,2,1,0,0
111,T1,25/11/17,Yeni Malatyaspor,Besiktas,0,0,D,0,0,D,8,6,3,4,14,16,3,9,2,1,0,0
112,T1,26/11/17,Antalyaspor,Fenerbahce,0,1,A,0,1,A,6,12,4,6,13,17,3,0,1,2,0,0
113,T1,26/11/17,Bursaspor,Karabukspor,2,1,H,2,0,H,8,11,4,4,13,16,6,7,3,4,0,0
114,T1,26/11/17,Kasimpasa,Konyaspor,2,1,H,1,0,H,11,11,7,1,8,12,4,4,2,0,0,0
115,T1,26/11/17,Sivasspor,Trabzonspor,1,2,A,1,1,D,11,6,5,3,12,14,6,3,3,3,0,0
116,T1,27/11/17,Kayserispor,Buyuksehyr,1,1,D,1,1,D,8,3,4,1,8,12,1,5,3,1,0,0
117,T1,02/12/17,Akhisar Belediyespor,Yeni Malatyaspor,0,0,D,0,0,D,2,5,0,3,23,16,5,8,0,5,0,0
118,T1,02/12/17,Besiktas,Galatasaray,3,0,H,0,0,D,19,6,9,4,8,18,9,2,3,3,0,0
119,T1,02/12/17,Karabukspor,Goztep,0,1,A,0,0,D,13,5,6,2,11,21,14,4,2,2,0,0
120,T1,03/12/17,Buyuksehyr,Osmanlispor,1,0,H,0,0,D,14,7,7,2,9,19,4,2,2,3,0,0
121,T1,03/12/17,Fenerbahce,Kasimpasa,4,2,H,1,1,D,14,7,8,3,15,14,3,3,3,1,0,0
122,T1,03/12/17,Genclerbirligi,Sivasspor,4,0,H,1,0,H,11,9,8,4,15,9,6,6,4,1,0,0
123,T1,03/12/17,Konyaspor,Bursaspor,0,3,A,0,3,A,20,7,11,5,14,11,9,1,2,1,0,0
124,T1,04/12/17,Alanyaspor,Kayserispor,1,2,A,0,1,A,6,8,5,5,13,10,2,9,5,3,1,0
125,T1,04/12/17,Trabzonspor,Antalyaspor,3,0,H,1,0,H,6,9,5,3,15,17,1,5,3,3,0,0
126,T1,08/12/17,Bursaspor,Fenerbahce,0,1,A,0,0,D,5,8,2,4,16,13,2,5,2,3,0,0
127,T1,09/12/17,Antalyaspor,Genclerbirligi,1,1,D,0,0,D,8,5,3,4,17,20,2,6,1,4,0,0
128,T1,09/12/17,Galatasaray,Akhisar Belediyespor,4,2,H,0,2,A,13,5,6,2,11,8,4,1,3,4,1,1
129,T1,09/12/17,Kasimpasa,Trabzonspor,0,3,A,0,1,A,7,8,6,7,15,16,6,4,2,1,0,0
