,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
46,T1,28/09/2019,13:00,Denizlispor,Kasimpasa,0,1,A,0,0,D,16,16,7,7,10,19,4,5,0,2,0,0
47,T1,28/09/2019,15:30,Alanyaspor,Sivasspor,1,1,D,0,1,A,29,8,11,4,19,17,11,3,3,4,0,0
48,T1,28/09/2019,18:00,Galatasaray,Fenerbahce,0,0,D,0,0,D,5,12,3,3,18,13,4,5,2,1,0,0
49,T1,29/09/2019,12:00,Konyaspor,Kayserispor,2,1,H,1,1,D,24,7,8,3,10,19,5,3,4,7,0,2
50,T1,29/09/2019,14:30,Ankaragucu,Genclerbirligi,2,1,H,0,0,D,12,17,5,6,15,11,4,9,1,2,0,0
51,T1,29/09/2019,14:30,Antalyaspor,Yeni Malatyaspor,3,0,H,1,0,H,11,11,5,1,14,14,2,4,2,2,0,1
52,T1,29/09/2019,17:00,Trabzonspor,Besiktas,4,1,H,2,0,H,13,12,5,4,23,10,2,8,6,3,0,0
53,T1,30/09/2019,18:00,Gaziantep,Goztep,1,1,D,0,0,D,15,4,2,2,12,9,5,5,2,4,0,1
54,T1,04/10/2019,18:30,Fenerbahce,Antalyaspor,0,1,A,0,1,A,25,7,6,5,10,17,10,3,1,2,0,0
55,T1,04/10/2019,18:30,Yeni Malatyaspor,Denizlispor,5,1,H,2,0,H,15,9,7,4,20,13,6,3,2,6,0,0
56,T1,05/10/2019,13:00,Kasimpasa,Konyaspor,1,4,A,1,3,A,17,14,8,9,11,10,9,2,5,4,0,0
57,T1,05/10/2019,15:30,Goztep,Kayserispor,4,0,H,3,0,H,16,8,8,3,13,15,6,5,1,2,0,0
58,T1,05/10/2019,18:00,Genclerbirligi,Galatasaray,0,0,D,0,0,D,20,11,6,2,19,17,4,5,7,4,1,0
59,T1,06/10/2019,12:00,Sivasspor,Ankaragucu,3,1,H,1,1,D,11,14,5,4,14,12,8,3,4,1,0,0
60,T1,06/10/2019,14:30,Besiktas,Alanyaspor,2,0,H,0,0,D,7,14,4,3,11,11,4,8,3,4,0,0
61,T1,06/10/2019,17:00,Gaziantep,Buyuksehyr,1,2,A,1,1,D,5,21,2,9,14,18,5,8,1,6,1,0
62,T1,06/10/2019,17:00,Rizespor,Trabzonspor,1,2,A,1,0,H,16,13,4,4,17,11,6,4,5,2,0,0
63,T1,18/10/2019,18:30,Galatasaray,Sivasspor,3,2,H,2,0,H,19,16,8,7,10,20,3,3,4,4,0,1
