,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,29/07/06,Celtic,Kilmarnock,4,1,H,2,0,H,I Brines,18,8,9,5,8,15,4,3,1,1,0,0
1,SC0,29/07/06,Dundee United,Falkirk,1,2,A,1,1,D,C Richmond,10,15,6,5,10,10,9,6,3,3,0,0
2,SC0,29/07/06,Dunfermline,Hearts,1,2,A,0,1,A,B Winter,9,10,4,5,24,12,9,4,5,3,1,0
3,SC0,29/07/06,Hibernian,Aberdeen,1,1,D,1,1,D,S Dougal,18,4,9,3,10,16,5,3,0,0,0,0
4,SC0,29/07/06,Inverness C,St Mirren,1,2,A,0,0,D,A Freeland,7,10,4,4,17,8,4,1,1,1,0,0
5,SC0,30/07/06,Motherwell,Rangers,1,2,A,0,1,A,J Underhill,3,13,1,5,10,10,2,8,2,1,0,0
6,SC0,05/08/06,Aberdeen,Inverness C,1,1,D,1,0,H,C Murray,5,7,3,3,13,14,0,6,3,3,0,0
7,SC0,05/08/06,Falkirk,Dunfermline,1,0,H,1,0,H,C Thomson,12,4,3,1,10,12,3,2,0,0,0,0
8,SC0,05/08/06,Kilmarnock,Hibernian,2,1,H,0,1,A,M McCurry,5,10,3,6,18,22,3,9,2,2,0,0
9,SC0,05/08/06,Rangers,Dundee United,2,2,D,0,1,A,D McDonald,27,6,17,5,7,15,11,4,0,2,0,0
10,SC0,05/08/06,St Mirren,Motherwell,2,0,H,1,0,H,E Smith,7,11,4,5,17,19,4,4,3,1,0,0
11,SC0,06/08/06,Hearts,Celtic,2,1,H,0,0,D,S Dougal,13,9,6,4,11,19,4,1,1,2,0,0
12,SC0,12/08/06,Celtic,St Mirren,2,0,H,1,0,H,B Winter,17,5,9,1,14,9,6,1,1,1,0,0
13,SC0,12/08/06,Hearts,Falkirk,0,0,D,0,0,D,J Underhill,17,9,11,5,13,9,10,7,0,3,0,0
14,SC0,12/08/06,Inverness C,Hibernian,0,0,D,0,0,D,I Brines,8,10,3,3,21,13,7,7,4,3,0,0
