,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Attendance,Referee,HS,AS,HST,AST,HHW,AHW,HC,AC,HF,AF,HO,AO,HY,AY,HR,AR
31,SC0,27/08/00,Motherwell,Aberdeen,1,1,D,1,1,D,5541,John Rowbotham,9.0,15.0,4.0,7.0,0.0,0.0,8.0,6.0,19.0,11.0,15,4,3,1,0,0
32,SC0,09/09/00,Aberdeen,St Johnstone,1,1,D,0,0,D,11026,Tom Brown,13.0,6.0,5.0,4.0,0.0,0.0,12.0,5.0,16.0,17.0,8,4,1,4,0,1
33,SC0,09/09/00,Celtic,Hibernian,3,0,H,2,0,H,60091,John Rowbotham,21.0,7.0,9.0,3.0,0.0,0.0,9.0,1.0,16.0,13.0,1,1,1,3,0,0
34,SC0,09/09/00,Dundee,Rangers,1,1,D,0,0,D,10439,Douglas McDonald,7.0,7.0,4.0,3.0,0.0,0.0,4.0,7.0,8.0,20.0,3,9,2,2,0,0
35,SC0,09/09/00,Hearts,Dunfermline,2,0,H,1,0,H,11811,Bobby Orr,17.0,5.0,8.0,1.0,0.0,0.0,7.0,2.0,9.0,15.0,2,0,0,1,0,0
36,SC0,09/09/00,Kilmarnock,Dundee United,1,0,H,1,0,H,6380,Hugh Dallas,9.0,8.0,4.0,2.0,1.0,1.0,2.0,5.0,9.0,9.0,2,3,0,2,0,0
37,SC0,09/09/00,St Mirren,Motherwell,0,1,A,0,0,D,5274,Stuart Dougal,9.0,18.0,5.0,6.0,0.0,0.0,8.0,6.0,8.0,18.0,2,1,0,2,0,0
38,SC0,16/09/00,Dundee United,St Mirren,0,0,D,0,0,D,5943,Kenny Clark,13.0,7.0,4.0,2.0,0.0,0.0,6.0,4.0,18.0,10.0,0,4,2,1,1,0
39,SC0,16/09/00,Hibernian,Motherwell,2,0,H,0,0,D,9852,Michael McCurry,17.0,7.0,9.0,2.0,1.0,1.0,1.0,0.0,11.0,24.0,3,5,3,3,0,0
40,SC0,16/09/00,Kilmarnock,Aberdeen,1,0,H,1,0,H,6876,Kevin Toner,8.0,5.0,5.0,2.0,0.0,0.0,5.0,10.0,6.0,9.0,5,4,2,3,0,0
41,SC0,16/09/00,St Johnstone,Dundee,0,0,D,0,0,D,5055,John Underhill,10.0,7.0,4.0,3.0,0.0,0.0,3.0,5.0,14.0,16.0,4,4,0,1,0,0
42,SC0,17/09/00,Rangers,Hearts,1,0,H,0,0,D,47340,Hugh Dallas,17.0,3.0,9.0,2.0,0.0,0.0,13.0,2.0,7.0,7.0,2,1,2,1,0,0
43,SC0,18/09/00,Dunfermline,Celtic,1,2,A,0,0,D,9493,Willie Young,2.0,11.0,1.0,3.0,0.0,2.0,3.0,8.0,19.0,16.0,0,2,1,5,0,0
44,SC0,20/09/00,Dundee,Dundee United,3,0,H,0,0,D,9838,Stuart Dougal,8.0,7.0,5.0,3.0,0.0,2.0,3.0,2.0,9.0,20.0,5,3,1,4,0,1
45,SC0,20/09/00,Hearts,St Mirren,2,0,H,0,0,D,10524,John Underhill,13.0,11.0,7.0,3.0,0.0,0.0,8.0,2.0,14.0,11.0,2,0,1,0,0,0
46,SC0,23/09/00,Celtic,Dundee,1,0,H,0,0,D,59674,Tom Brown,13.0,5.0,6.0,3.0,0.0,1.0,4.0,1.0,12.0,7.0,3,1,1,3,0,0
47,SC0,23/09/00,Dundee United,Aberdeen,3,5,A,0,3,A,7699,Douglas McDonald,10.0,11.0,4.0,9.0,0.0,0.0,4.0,3.0,10.0,14.0,5,3,3,2,0,1
48,SC0,23/09/00,Dunfermline,Hibernian,1,1,D,0,1,A,8275,George Clyde,8.0,10.0,4.0,5.0,0.0,0.0,4.0,4.0,15.0,18.0,2,1,1,3,0,0
49,SC0,23/09/00,Motherwell,Rangers,0,1,A,0,1,A,11275,Stuart Dougal,9.0,12.0,4.0,5.0,0.0,0.0,3.0,11.0,15.0,8.0,0,2,3,2,0,0
50,SC0,23/09/00,St Mirren,St Johnstone,0,1,A,0,1,A,4519,Alan Freeland,8.0,14.0,1.0,5.0,0.0,1.0,0.0,1.0,17.0,13.0,3,2,2,2,0,0
51,SC0,24/09/00,Hearts,Kilmarnock,0,2,A,0,1,A,10379,Kenny Clark,9.0,9.0,3.0,2.0,0.0,0.0,3.0,9.0,12.0,19.0,3,2,2,1,0,0
52,SC0,30/09/00,Dundee,Kilmarnock,0,0,D,0,0,D,6170,Bobby Orr,5.0,10.0,3.0,4.0,0.0,0.0,7.0,6.0,10.0,11.0,6,3,0,0,1,0
53,SC0,30/09/00,St Johnstone,Hibernian,0,3,A,0,2,A,5464,Hugh Dallas,6.0,12.0,2.0,5.0,0.0,0.0,6.0,4.0,13.0,11.0,1,3,3,1,1,0
54,SC0,30/09/00,St Mirren,Dunfermline,2,1,H,2,0,H,5002,John Fleming,12.0,10.0,5.0,4.0,0.0,0.0,4.0,3.0,7.0,9.0,1,0,1,1,0,1
55,SC0,01/10/00,Aberdeen,Celtic,1,1,D,1,0,H,18239,Michael McCurry,8.0,7.0,4.0,3.0,0.0,0.0,4.0,3.0,23.0,23.0,5,3,3,3,0,1
56,SC0,01/10/00,Hearts,Motherwell,3,0,H,2,0,H,10460,Willie Young,15.0,4.0,6.0,0.0,0.0,0.0,5.0,0.0,15.0,13.0,2,3,2,2,0,1
57,SC0,01/10/00,Rangers,Dundee United,3,0,H,2,0,H,44324,John Rowbotham,23.0,9.0,14.0,5.0,0.0,1.0,14.0,4.0,7.0,11.0,7,0,0,3,0,1
58,SC0,14/10/00,Aberdeen,Dundee,0,2,A,0,1,A,14750,David Somers,16.0,10.0,7.0,4.0,0.0,0.0,8.0,6.0,7.0,9.0,3,5,3,3,1,1
59,SC0,14/10/00,Celtic,St Mirren,2,0,H,1,0,H,60002,George Clyde,28.0,6.0,13.0,3.0,0.0,0.0,10.0,0.0,14.0,16.0,0,1,1,0,0,0
60,SC0,14/10/00,Dundee United,Hearts,0,4,A,0,3,A,7016,Stuart Dougal,7.0,10.0,1.0,7.0,1.0,0.0,4.0,8.0,12.0,15.0,2,3,1,1,0,0
61,SC0,14/10/00,Hibernian,Rangers,1,0,H,1,0,H,14523,Kenny Clark,12.0,11.0,3.0,5.0,1.0,0.0,3.0,4.0,27.0,18.0,0,2,2,4,0,1
62,SC0,14/10/00,Kilmarnock,Dunfermline,2,1,H,1,1,D,6436,Gary Mitchell,14.0,3.0,6.0,2.0,0.0,0.0,4.0,2.0,8.0,11.0,3,2,0,5,0,0
63,SC0,14/10/00,Motherwell,St Johnstone,4,0,H,2,0,H,4483,C Conner,8.0,6.0,5.0,2.0,0.0,0.0,6.0,9.0,18.0,6.0,9,1,3,0,1,0
64,SC0,17/10/00,St Johnstone,Celtic,0,2,A,0,1,A,8946,John Rowbotham,3.0,12.0,2.0,4.0,0.0,0.0,1.0,5.0,18.0,12.0,2,3,6,2,1,0
65,SC0,21/10/00,Aberdeen,Dunfermline,0,0,D,0,0,D,11993,John Rowbotham,16.0,13.0,4.0,5.0,2.0,2.0,6.0,4.0,5.0,12.0,1,7,0,1,0,0
66,SC0,21/10/00,Celtic,Dundee United,2,1,H,1,0,H,59427,John Underhill,10.0,4.0,3.0,1.0,1.0,0.0,12.0,2.0,7.0,9.0,0,2,0,1,0,0
67,SC0,21/10/00,Dundee,Motherwell,1,2,A,1,2,A,7344,John Fleming,9.0,14.0,4.0,7.0,0.0,0.0,6.0,6.0,15.0,26.0,5,1,2,3,0,0
68,SC0,21/10/00,Kilmarnock,St Mirren,2,1,H,0,1,A,7861,Michael McCurry,16.0,4.0,9.0,1.0,1.0,1.0,7.0,2.0,9.0,17.0,0,3,3,4,0,0
69,SC0,22/10/00,Hibernian,Hearts,6,2,H,2,1,H,12926,Hugh Dallas,18.0,7.0,10.0,4.0,0.0,0.0,6.0,2.0,13.0,17.0,3,1,0,0,0,0
70,SC0,22/10/00,St Johnstone,Rangers,2,1,H,1,0,H,9200,Alan Freeland,11.0,13.0,6.0,3.0,0.0,0.0,7.0,5.0,15.0,12.0,3,5,3,2,0,0
71,SC0,28/10/00,Dundee United,Hibernian,0,1,A,0,0,D,8042,John Rowbotham,13.0,8.0,5.0,4.0,0.0,0.0,7.0,5.0,20.0,8.0,1,1,3,0,0,0
72,SC0,28/10/00,Dunfermline,Dundee,1,0,H,0,0,D,6397,Michael McCurry,8.0,5.0,4.0,2.0,0.0,0.0,3.0,3.0,16.0,10.0,4,4,2,1,0,0
73,SC0,28/10/00,Hearts,St Johnstone,0,3,A,0,0,D,12883,George Clyde,10.0,8.0,4.0,6.0,0.0,0.0,3.0,3.0,10.0,16.0,3,4,1,0,0,0
