,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,05/08/17,Celtic,Hearts,4,1,H,1,0,H,K Clancy,17,4,7,3,9,21,9,5,1,3,0,0
1,SC0,05/08/17,Dundee,Ross County,1,2,A,0,1,A,W Collum,13,14,6,5,14,8,15,5,1,2,0,0
2,SC0,05/08/17,Hibernian,Partick,3,1,H,2,1,H,N Walsh,12,6,6,3,13,19,3,4,2,3,0,0
3,SC0,05/08/17,Kilmarnock,St Johnstone,1,2,A,0,1,A,S McLean,12,8,4,2,12,16,1,10,1,4,0,0
4,SC0,06/08/17,Aberdeen,Hamilton,2,0,H,1,0,H,E Anderson,17,5,7,3,10,17,3,2,1,3,0,1
5,SC0,06/08/17,Motherwell,Rangers,1,2,A,1,1,D,B Madden,10,15,2,3,17,17,7,5,4,2,0,0
6,SC0,11/08/17,Partick,Celtic,0,1,A,0,1,A,A Dallas,3,17,1,6,9,6,3,11,1,1,0,0
7,SC0,12/08/17,Hamilton,Dundee,3,0,H,2,0,H,B Madden,13,11,7,4,13,19,5,7,1,3,0,0
8,SC0,12/08/17,Kilmarnock,Hearts,0,1,A,0,1,A,S Finnie,8,9,3,4,23,17,4,5,3,2,1,1
9,SC0,12/08/17,Rangers,Hibernian,2,3,A,1,2,A,J Beaton,12,13,2,4,15,14,6,5,6,3,1,0
10,SC0,12/08/17,Ross County,Aberdeen,1,2,A,1,1,D,D Beaton,5,13,3,7,21,14,2,6,3,1,0,0
11,SC0,12/08/17,St Johnstone,Motherwell,4,1,H,2,1,H,C Thomson,9,11,7,3,9,13,7,6,1,0,0,3
12,SC0,19/08/17,Aberdeen,Dundee,2,1,H,1,0,H,K Clancy,10,9,6,1,11,15,4,6,3,1,0,0
13,SC0,19/08/17,Hibernian,Hamilton,1,3,A,0,0,D,S McLean,15,18,9,8,11,12,9,7,0,2,0,0
14,SC0,19/08/17,Kilmarnock,Celtic,0,2,A,0,1,A,N Walsh,3,15,0,6,15,6,5,5,2,0,0,0
15,SC0,19/08/17,Motherwell,Ross County,2,0,H,0,0,D,A Muir,7,11,3,3,14,10,1,3,2,2,0,1
16,SC0,19/08/17,Rangers,Hearts,0,0,D,0,0,D,W Collum,10,7,2,0,11,7,13,2,2,1,0,0
17,SC0,19/08/17,St Johnstone,Partick,1,0,H,1,0,H,B Cook,7,6,3,3,3,15,3,2,0,2,0,0
18,SC0,26/08/17,Celtic,St Johnstone,1,1,D,0,1,A,W Collum,31,7,11,3,7,8,12,1,2,3,0,0
19,SC0,26/08/17,Kilmarnock,Hamilton,2,2,D,1,0,H,A Dallas,6,14,2,6,9,11,1,4,3,1,0,0
20,SC0,26/08/17,Motherwell,Hearts,2,1,H,2,1,H,J Beaton,8,11,3,5,14,20,5,3,2,3,0,0
21,SC0,26/08/17,Partick,Aberdeen,3,4,A,2,2,D,B Madden,5,16,3,8,12,9,5,9,1,0,1,0
22,SC0,27/08/17,Dundee,Hibernian,1,1,D,1,1,D,D Robertson,5,16,3,9,13,11,1,15,2,2,0,0
23,SC0,27/08/17,Ross County,Rangers,1,3,A,0,2,A,C Thomson,8,14,2,3,17,17,5,6,2,0,0,0
24,SC0,08/09/17,Hamilton,Celtic,1,4,A,0,3,A,D Robertson,5,15,4,6,10,4,3,15,1,0,0,0
25,SC0,09/09/17,Hearts,Aberdeen,0,0,D,0,0,D,C Thomson,18,11,9,4,20,11,10,2,3,1,0,0
26,SC0,09/09/17,Motherwell,Kilmarnock,2,0,H,0,0,D,B Madden,15,5,8,2,11,9,6,5,3,1,0,0
27,SC0,09/09/17,Rangers,Dundee,4,1,H,1,0,H,A Dallas,19,7,10,1,6,9,10,2,1,2,0,0
28,SC0,09/09/17,Ross County,Partick,1,1,D,0,1,A,J Beaton,16,9,6,5,14,13,4,3,3,1,0,0
29,SC0,09/09/17,St Johnstone,Hibernian,1,1,D,0,0,D,N Walsh,5,15,1,2,14,9,2,13,3,1,0,0
30,SC0,15/09/17,Partick,Rangers,2,2,D,0,1,A,W Collum,5,17,2,4,10,6,3,4,5,0,1,0
31,SC0,16/09/17,Aberdeen,Kilmarnock,1,1,D,1,0,H,S Finnie,15,10,5,5,10,13,5,4,2,3,0,0
32,SC0,16/09/17,Celtic,Ross County,4,0,H,2,0,H,S McLean,30,7,9,5,10,9,7,3,0,1,0,0
33,SC0,16/09/17,Dundee,St Johnstone,3,2,H,1,0,H,A Muir,15,10,7,6,20,18,1,6,0,2,1,0
34,SC0,16/09/17,Hamilton,Hearts,1,2,A,1,2,A,B Madden,7,9,2,6,11,11,7,2,2,1,0,0
35,SC0,16/09/17,Hibernian,Motherwell,2,2,D,1,0,H,B Cook,10,8,5,4,6,15,2,5,1,4,0,0
36,SC0,23/09/17,Kilmarnock,Dundee,1,1,D,0,1,A,B Madden,11,7,7,3,14,23,6,9,2,2,0,0
37,SC0,23/09/17,Partick,Hearts,1,1,D,1,0,H,D Robertson,15,13,9,4,12,12,3,6,1,2,0,0
38,SC0,23/09/17,Rangers,Celtic,0,2,A,0,0,D,C Thomson,6,18,1,7,12,11,2,11,2,1,0,0
39,SC0,23/09/17,Ross County,Hibernian,0,1,A,0,1,A,A Dallas,8,15,3,7,14,9,6,8,2,1,0,0
40,SC0,23/09/17,St Johnstone,Hamilton,2,1,H,0,1,A,W Collum,8,16,2,6,7,17,5,7,1,1,0,1
41,SC0,24/09/17,Motherwell,Aberdeen,0,1,A,0,0,D,N Walsh,9,8,2,3,12,12,8,4,2,2,0,0
42,SC0,29/09/17,Hamilton,Rangers,1,4,A,1,3,A,A Dallas,13,5,9,5,14,16,7,3,1,1,0,1
43,SC0,30/09/17,Aberdeen,St Johnstone,3,0,H,2,0,H,J Beaton,13,4,7,0,14,12,8,1,2,1,0,0
44,SC0,30/09/17,Celtic,Hibernian,2,2,D,1,0,H,W Collum,13,15,5,7,11,14,3,6,3,2,0,0
45,SC0,30/09/17,Dundee,Hearts,2,1,H,1,0,H,S McLean,9,11,6,4,15,12,6,10,3,1,0,0
46,SC0,30/09/17,Kilmarnock,Ross County,0,2,A,0,2,A,C Thomson,9,9,1,6,10,8,3,10,0,0,0,0
47,SC0,30/09/17,Motherwell,Partick,3,0,H,1,0,H,G Aitken,16,4,7,0,8,10,10,3,0,4,0,0
48,SC0,13/10/17,St Johnstone,Rangers,0,3,A,0,1,A,D Robertson,5,15,2,5,11,12,16,2,1,3,1,0
49,SC0,14/10/17,Celtic,Dundee,1,0,H,0,0,D,A Dallas,19,11,9,4,10,17,5,4,0,3,0,0
50,SC0,14/10/17,Hamilton,Motherwell,1,2,A,1,1,D,C Thomson,8,16,5,5,13,11,6,10,1,2,0,0
51,SC0,14/10/17,Hibernian,Aberdeen,0,1,A,0,1,A,S McLean,13,7,4,2,9,16,7,0,2,3,0,0
52,SC0,14/10/17,Partick,Kilmarnock,0,2,A,0,1,A,K Clancy,7,10,3,6,9,12,6,2,1,1,0,0
53,SC0,14/10/17,Ross County,Hearts,1,2,A,1,1,D,W Collum,10,10,4,4,11,14,4,6,3,4,0,1
54,SC0,21/10/17,Hearts,St Johnstone,1,0,H,0,0,D,N Walsh,11,2,4,1,16,11,4,3,4,3,0,0
55,SC0,21/10/17,Partick,Dundee,2,1,H,0,1,A,E Anderson,6,15,4,6,13,7,8,1,4,2,0,0
56,SC0,21/10/17,Ross County,Hamilton,2,1,H,0,0,D,S Finnie,14,8,6,1,13,16,8,8,2,2,0,0
57,SC0,24/10/17,Hamilton,Partick,0,0,D,0,0,D,S McLean,6,12,0,3,13,12,3,8,1,2,0,0
58,SC0,24/10/17,Hibernian,Hearts,1,0,H,1,0,H,A Dallas,11,9,4,2,11,21,11,3,2,3,0,0
59,SC0,24/10/17,St Johnstone,Ross County,0,0,D,0,0,D,B Cook,13,6,5,3,8,11,7,6,0,4,0,0
60,SC0,25/10/17,Aberdeen,Celtic,0,3,A,0,2,A,C Thomson,5,21,2,10,17,6,3,4,4,0,0,0
61,SC0,25/10/17,Dundee,Motherwell,0,1,A,0,1,A,S Finnie,8,11,3,7,12,17,3,4,3,3,0,0
62,SC0,25/10/17,Rangers,Kilmarnock,1,1,D,1,0,H,A Muir,20,11,5,5,10,11,11,4,1,3,1,0
63,SC0,28/10/17,Aberdeen,Ross County,2,1,H,1,1,D,D Robertson,13,4,6,3,17,14,3,5,3,3,0,0
64,SC0,28/10/17,Celtic,Kilmarnock,1,1,D,1,0,H,N Walsh,20,4,7,2,6,10,9,1,2,1,0,0
65,SC0,28/10/17,Dundee,Hamilton,1,3,A,0,1,A,G Aitken,8,8,3,4,17,15,6,5,4,3,0,1
66,SC0,28/10/17,Hearts,Rangers,1,3,A,1,1,D,C Thomson,9,13,3,7,14,11,3,7,1,2,0,0
67,SC0,28/10/17,Motherwell,Hibernian,0,1,A,0,1,A,B Madden,4,12,2,3,12,11,4,8,1,0,0,0
68,SC0,28/10/17,Partick,St Johnstone,1,0,H,1,0,H,J Beaton,5,7,3,5,13,9,5,4,0,1,0,0
69,SC0,31/10/17,Kilmarnock,Hibernian,0,3,A,0,1,A,S Finnie,16,5,5,4,7,12,7,5,0,3,0,0
70,SC0,04/11/17,Hamilton,Aberdeen,2,2,D,1,1,D,N Walsh,9,10,4,3,5,5,4,7,2,0,0,0
71,SC0,04/11/17,Hibernian,Dundee,2,1,H,1,1,D,G Beaton,10,10,5,5,13,11,6,2,4,2,0,0
72,SC0,04/11/17,Rangers,Partick,3,0,H,2,0,H,W Collum,13,6,5,1,9,7,7,3,0,2,0,0
73,SC0,04/11/17,Ross County,Motherwell,3,2,H,3,0,H,E Anderson,7,7,4,4,10,18,0,5,1,1,0,0
74,SC0,04/11/17,St Johnstone,Celtic,0,4,A,0,1,A,B Madden,6,27,2,15,11,8,4,3,2,0,0,0
75,SC0,05/11/17,Hearts,Kilmarnock,1,2,A,0,1,A,K Clancy,10,8,2,3,13,8,7,4,4,1,0,0
76,SC0,18/11/17,Aberdeen,Motherwell,0,2,A,0,1,A,B Madden,3,10,2,5,15,13,8,3,2,1,0,0
77,SC0,18/11/17,Dundee,Kilmarnock,0,0,D,0,0,D,W Collum,4,7,1,2,11,11,6,6,0,3,1,0
78,SC0,18/11/17,Hibernian,St Johnstone,1,2,A,0,0,D,C Thomson,11,8,3,5,6,11,10,6,1,4,0,0
79,SC0,18/11/17,Rangers,Hamilton,0,2,A,0,0,D,G Aitken,17,4,4,2,7,7,13,0,1,0,0,1
80,SC0,18/11/17,Ross County,Celtic,0,1,A,0,0,D,N Walsh,5,10,1,3,10,9,1,11,3,2,0,0
81,SC0,19/11/17,Hearts,Partick,1,1,D,0,0,D,A Dallas,9,4,2,1,12,13,3,3,1,2,0,0
82,SC0,24/11/17,Dundee,Rangers,2,1,H,0,0,D,K Clancy,6,15,5,8,7,16,2,5,2,2,0,0
83,SC0,25/11/17,Hamilton,Hibernian,1,1,D,0,1,A,D Robertson,1,9,1,5,12,6,0,11,5,1,0,0
84,SC0,25/11/17,Hearts,Ross County,0,0,D,0,0,D,J Beaton,23,5,10,1,16,13,8,2,2,2,0,0
85,SC0,26/11/17,Kilmarnock,Aberdeen,1,3,A,0,2,A,S McLean,13,8,2,4,13,13,1,3,2,2,1,0
86,SC0,29/11/17,Motherwell,Celtic,1,1,D,0,0,D,W Collum,5,21,1,7,18,8,4,7,4,1,0,0
87,SC0,29/11/17,Rangers,Aberdeen,3,0,H,2,0,H,A Dallas,9,10,6,2,24,16,6,2,3,3,0,1
88,SC0,02/12/17,Celtic,Motherwell,5,1,H,2,0,H,K Clancy,19,6,8,2,7,17,9,0,1,3,0,0
89,SC0,02/12/17,Hearts,Hamilton,1,1,D,0,0,D,B Madden,7,15,1,7,21,14,5,7,4,4,1,0
90,SC0,02/12/17,Partick,Hibernian,0,1,A,0,0,D,C Thomson,7,8,4,4,14,6,3,9,1,0,0,0
91,SC0,02/12/17,Ross County,Dundee,0,2,A,0,1,A,S McLean,6,12,1,5,13,17,5,7,1,2,0,0
92,SC0,02/12/17,St Johnstone,Kilmarnock,1,2,A,1,1,D,J Beaton,6,11,2,6,7,14,7,7,1,3,0,0
