,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
204,SC0,07/05/09,Dundee United,Aberdeen,1,1,D,1,1,D,C Boyle,10,10,3,6,17,9,8,9,2,2,0,1
205,SC0,07/05/09,Hearts,Hibernian,0,1,A,0,0,D,S Conroy,9,6,3,3,16,14,7,4,0,3,1,0
206,SC0,09/05/09,Kilmarnock,Falkirk,1,1,D,0,0,D,A Muir,13,2,7,2,14,25,4,4,2,1,0,0
207,SC0,09/05/09,Rangers,Celtic,1,0,H,1,0,H,C Thomson,11,10,6,5,16,18,3,7,3,3,0,0
208,SC0,09/05/09,St Mirren,Motherwell,1,3,A,0,2,A,B Winter,6,9,3,4,9,15,6,4,0,1,0,0
209,SC0,10/05/09,Inverness C,Hamilton,1,1,D,0,0,D,C Richmond,12,7,7,2,16,16,7,5,0,1,0,1
210,SC0,12/05/09,Aberdeen,Hearts,0,0,D,0,0,D,S Finnie,14,6,6,1,12,15,4,4,2,4,0,1
211,SC0,12/05/09,Celtic,Dundee United,2,1,H,1,0,H,S Dougal,10,10,5,6,15,14,8,0,2,2,0,0
212,SC0,13/05/09,Hamilton,Falkirk,0,1,A,0,0,D,M McCurry,7,4,2,1,17,17,10,2,1,2,0,0
213,SC0,13/05/09,Hibernian,Rangers,1,1,D,1,0,H,E Smith,5,16,3,6,9,9,0,11,2,3,0,0
214,SC0,13/05/09,Kilmarnock,St Mirren,2,1,H,1,0,H,C Allan,9,8,7,5,14,15,1,6,1,2,0,0
215,SC0,13/05/09,Motherwell,Inverness C,2,2,D,1,1,D,D McDonald,9,10,2,6,12,17,3,2,0,2,0,0
216,SC0,16/05/09,Falkirk,St Mirren,0,2,A,0,1,A,C Boyle,7,14,1,8,18,7,2,5,0,0,1,0
217,SC0,16/05/09,Hamilton,Motherwell,0,3,A,0,1,A,A Muir,14,10,7,6,17,12,6,5,3,2,0,0
218,SC0,16/05/09,Hearts,Dundee United,3,0,H,2,0,H,B Winter,11,7,7,3,8,13,5,9,0,3,0,0
219,SC0,16/05/09,Kilmarnock,Inverness C,1,0,H,0,0,D,W Collum,6,11,2,7,13,14,5,4,4,4,0,0
220,SC0,16/05/09,Rangers,Aberdeen,2,1,H,0,0,D,S Dougal,15,8,7,6,10,3,8,2,2,1,1,1
221,SC0,17/05/09,Hibernian,Celtic,0,0,D,0,0,D,I Brines,9,12,5,1,13,14,2,13,5,1,0,0
222,SC0,23/05/09,Inverness C,Falkirk,0,1,A,0,0,D,E Smith,9,6,3,4,12,17,3,4,1,1,1,0
223,SC0,23/05/09,Motherwell,Kilmarnock,1,2,A,0,1,A,S Nicholls,13,7,5,4,9,9,7,2,1,1,0,0
224,SC0,23/05/09,St Mirren,Hamilton,0,1,A,0,1,A,C Murray,10,6,2,4,9,16,5,2,1,2,0,0
225,SC0,24/05/09,Aberdeen,Hibernian,2,1,H,2,1,H,D Somers,11,7,8,4,14,15,12,2,1,3,0,1
226,SC0,24/05/09,Celtic,Hearts,0,0,D,0,0,D,C Thomson,18,2,9,2,8,14,11,0,0,1,0,0
227,SC0,24/05/09,Dundee United,Rangers,0,3,A,0,2,A,D McDonald,5,10,4,7,11,14,3,2,3,2,0,0
