,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,23/07/11,Aberdeen,St Johnstone,0,0,D,0,0,D,S Conroy,9,6,4,2,7,13,14,5,1,2,1,0
1,SC0,23/07/11,Motherwell,Inverness C,3,0,H,2,0,H,S McLean,12,11,7,2,12,12,5,6,3,1,0,0
2,SC0,23/07/11,Rangers,Hearts,1,1,D,0,1,A,C Murray,7,10,4,8,9,13,4,4,1,1,0,0
3,SC0,24/07/11,Dundee United,Kilmarnock,1,1,D,0,0,D,A Muir,11,9,4,4,7,8,13,10,1,1,0,0
4,SC0,24/07/11,Hibernian,Celtic,0,2,A,0,1,A,I Brines,0,6,0,4,15,15,0,6,1,0,0,0
5,SC0,25/07/11,Dunfermline,St Mirren,0,0,D,0,0,D,S O'Reilly,5,16,1,7,17,18,2,9,3,2,0,0
6,SC0,30/07/11,Inverness C,Hibernian,0,1,A,0,0,D,S Conroy,10,5,2,4,3,9,8,4,0,1,0,0
7,SC0,30/07/11,Kilmarnock,Motherwell,0,0,D,0,0,D,G Salmond,10,5,4,3,5,6,7,14,0,0,0,0
8,SC0,30/07/11,St Johnstone,Rangers,0,2,A,0,1,A,A Muir,10,12,4,10,9,15,2,6,1,1,0,0
9,SC0,30/07/11,St Mirren,Aberdeen,1,0,H,0,0,D,E Norris,12,7,5,5,10,17,7,1,3,4,0,0
10,SC0,31/07/11,Hearts,Dundee United,0,1,A,0,1,A,B Winter,8,5,2,2,8,10,9,6,1,1,0,0
11,SC0,06/08/11,Dundee United,St Mirren,1,1,D,0,1,A,C Allan,26,7,10,4,9,9,9,1,1,3,0,1
12,SC0,06/08/11,Dunfermline,Inverness C,3,3,D,1,0,H,S Finnie,4,3,3,3,12,12,7,7,2,3,0,0
13,SC0,07/08/11,Aberdeen,Celtic,0,1,A,0,0,D,C Murray,6,25,3,13,11,9,5,5,2,1,0,0
