,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,01/08/15,Celtic,Ross County,2,0,H,2,0,H,W Collum,13,8,7,4,11,5,15,4,2,0,0,0
1,SC0,01/08/15,Hamilton,Partick,0,0,D,0,0,D,B Colvin,13,4,7,3,12,11,3,1,2,0,0,1
2,SC0,01/08/15,Inverness C,Motherwell,0,1,A,0,1,A,C Allan,3,13,0,8,6,8,5,6,1,1,0,0
3,SC0,01/08/15,Kilmarnock,Dundee,0,4,A,0,2,A,B Madden,4,14,1,10,15,10,1,4,1,0,0,0
4,SC0,02/08/15,Dundee United,Aberdeen,0,1,A,0,0,D,K Clancy,7,8,3,3,13,10,7,11,2,1,0,0
5,SC0,02/08/15,Hearts,St Johnstone,4,3,H,1,0,H,S McLean,13,12,6,5,13,11,2,3,3,2,0,0
6,SC0,08/08/15,Dundee,Hearts,1,2,A,1,0,H,C Thomson,6,5,1,2,12,17,6,4,5,4,0,0
7,SC0,08/08/15,Motherwell,Dundee United,0,2,A,0,0,D,B Madden,8,9,6,7,16,10,7,5,3,1,0,0
8,SC0,08/08/15,Ross County,Hamilton,2,0,H,2,0,H,A Dallas,6,8,2,2,8,14,5,4,0,3,0,0
9,SC0,08/08/15,St Johnstone,Inverness C,1,1,D,0,1,A,W Collum,5,9,3,3,9,13,9,5,0,1,0,0
10,SC0,09/08/15,Aberdeen,Kilmarnock,2,0,H,1,0,H,S McLean,15,2,9,0,8,18,7,3,1,4,0,0
11,SC0,09/08/15,Partick,Celtic,0,2,A,0,1,A,J Beaton,5,15,1,6,13,10,1,5,2,0,0,0
12,SC0,11/08/15,Dundee United,Dundee,2,2,D,0,0,D,J Beaton,10,11,6,7,10,11,6,1,0,1,0,0
13,SC0,11/08/15,St Johnstone,Ross County,1,1,D,0,1,A,A Muir,6,10,2,6,8,17,8,6,2,3,0,0
14,SC0,12/08/15,Hearts,Motherwell,2,0,H,1,0,H,B Colvin,10,5,5,2,9,16,4,4,0,2,0,0
15,SC0,12/08/15,Inverness C,Partick,0,0,D,0,0,D,S Finnie,5,7,3,4,14,16,3,2,2,2,0,0
16,SC0,12/08/15,Kilmarnock,Celtic,2,2,D,1,1,D,C Allan,11,28,5,12,11,12,6,7,0,0,0,0
17,SC0,15/08/15,Celtic,Inverness C,4,2,H,2,0,H,C Thomson,15,9,8,5,11,11,10,2,4,2,0,0
18,SC0,15/08/15,Dundee,St Johnstone,2,1,H,2,0,H,K Clancy,13,10,8,3,13,7,4,10,3,1,0,0
19,SC0,15/08/15,Hamilton,Dundee United,4,0,H,3,0,H,S McLean,14,9,8,5,12,5,6,3,1,1,0,0
20,SC0,15/08/15,Motherwell,Aberdeen,1,2,A,1,1,D,W Collum,12,12,4,6,11,11,2,5,1,2,0,0
21,SC0,15/08/15,Partick,Kilmarnock,2,2,D,1,1,D,A Muir,16,13,8,8,7,14,9,3,1,3,1,0
22,SC0,15/08/15,Ross County,Hearts,1,2,A,1,2,A,B Madden,10,9,6,2,15,17,4,6,2,3,0,0
23,SC0,22/08/15,Aberdeen,Dundee,2,0,H,0,0,D,B Madden,13,7,5,4,18,17,9,1,1,2,0,1
24,SC0,22/08/15,Dundee United,Celtic,1,3,A,1,2,A,W Collum,6,15,3,6,10,11,6,8,3,4,0,0
25,SC0,22/08/15,Hearts,Partick,3,0,H,1,0,H,J Beaton,13,4,5,0,14,11,8,10,1,3,0,0
26,SC0,22/08/15,Inverness C,Hamilton,0,2,A,0,1,A,E Anderson,10,10,5,4,14,20,6,4,2,3,0,0
27,SC0,22/08/15,Kilmarnock,Ross County,0,4,A,0,4,A,D Robertson,8,22,2,11,17,7,2,8,2,1,0,0
28,SC0,22/08/15,St Johnstone,Motherwell,2,1,H,0,1,A,C Thomson,11,11,6,4,7,8,7,6,0,1,0,1
29,SC0,29/08/15,Celtic,St Johnstone,3,1,H,2,1,H,J Beaton,23,6,8,3,16,9,8,9,0,0,0,0
30,SC0,29/08/15,Dundee,Inverness C,1,1,D,0,0,D,A Dallas,8,10,4,4,8,16,4,4,1,4,0,1
31,SC0,29/08/15,Hamilton,Hearts,3,2,H,1,0,H,W Collum,10,6,7,4,16,10,4,2,7,1,0,1
32,SC0,29/08/15,Motherwell,Kilmarnock,1,0,H,1,0,H,S McLean,12,9,3,4,8,11,5,5,1,0,0,0
33,SC0,29/08/15,Partick,Aberdeen,0,2,A,0,0,D,S Finnie,8,6,3,4,12,12,4,3,2,1,0,0
34,SC0,29/08/15,Ross County,Dundee United,2,1,H,2,0,H,C Thomson,14,14,6,7,17,9,3,6,3,2,0,0
35,SC0,11/09/15,Inverness C,Hearts,2,0,H,0,0,D,S McLean,8,10,5,0,15,14,2,3,2,2,0,1
36,SC0,12/09/15,Aberdeen,Celtic,2,1,H,0,1,A,C Thomson,5,13,2,3,14,20,2,7,1,4,1,0
37,SC0,12/09/15,Dundee United,Kilmarnock,1,2,A,0,1,A,B Colvin,18,8,7,2,6,11,9,8,0,4,0,0
38,SC0,12/09/15,Motherwell,Ross County,1,1,D,0,1,A,D Robertson,7,7,3,2,7,6,9,4,0,3,0,0
39,SC0,12/09/15,Partick,Dundee,0,1,A,0,0,D,W Collum,10,9,2,3,12,9,7,4,0,0,0,0
40,SC0,12/09/15,St Johnstone,Hamilton,4,1,H,3,0,H,A Dallas,8,11,6,4,11,19,2,8,4,1,0,0
41,SC0,15/09/15,Aberdeen,Hamilton,1,0,H,1,0,H,C Allan,9,8,6,3,9,16,9,2,0,2,0,0
42,SC0,19/09/15,Dundee United,Inverness C,1,1,D,1,0,H,K Clancy,12,7,4,3,10,12,4,6,2,2,0,0
43,SC0,19/09/15,Hamilton,Motherwell,1,0,H,0,0,D,C Thomson,12,9,5,5,8,13,3,5,1,2,0,0
44,SC0,19/09/15,Kilmarnock,St Johnstone,2,1,H,1,1,D,W Collum,14,11,3,4,7,8,0,3,2,1,0,0
45,SC0,19/09/15,Ross County,Partick,1,0,H,1,0,H,G Aitken,6,6,1,2,13,19,3,6,0,1,0,0
46,SC0,20/09/15,Celtic,Dundee,6,0,H,2,0,H,S McLean,29,6,15,2,9,10,9,3,0,1,0,0
47,SC0,20/09/15,Hearts,Aberdeen,1,3,A,0,3,A,B Madden,8,7,3,5,21,20,8,5,2,2,0,0
48,SC0,26/09/15,Celtic,Hearts,0,0,D,0,0,D,K Clancy,24,5,5,0,11,12,7,4,2,3,1,0
49,SC0,26/09/15,Dundee,Ross County,3,3,D,1,3,A,C Thomson,13,6,6,4,14,10,5,2,2,0,0,1
50,SC0,26/09/15,Inverness C,Aberdeen,2,1,H,2,1,H,J Beaton,6,11,5,2,20,13,4,9,3,2,1,0
