,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,SC0,30/07/05,Dundee United,Aberdeen,1,1,D,1,0,H,D McDonald,4,16,3,7,10,7,7,5,1,0,0,0
1,SC0,30/07/05,Falkirk,Inverness C,0,2,A,0,0,D,J Underhill,9,8,6,2,11,12,6,1,0,3,0,0
2,SC0,30/07/05,Hibernian,Dunfermline,1,1,D,0,1,A,C Richmond,12,9,5,6,7,19,6,3,2,3,1,0
3,SC0,30/07/05,Kilmarnock,Hearts,2,4,A,1,1,D,A Freeland,4,11,2,10,27,19,1,8,5,1,0,0
4,SC0,30/07/05,Motherwell,Celtic,4,4,D,1,3,A,M McCurry,11,10,6,9,20,19,1,5,2,2,0,0
5,SC0,31/07/05,Rangers,Livingston,3,0,H,1,0,H,C Thomson,18,6,12,1,14,20,10,3,0,2,0,1
6,SC0,06/08/05,Aberdeen,Kilmarnock,1,2,A,1,1,D,I Fyfe,8,7,4,3,14,20,9,1,1,1,0,0
7,SC0,06/08/05,Celtic,Dundee United,2,0,H,1,0,H,Ian Brines,19,4,11,3,14,7,9,3,1,2,0,0
8,SC0,06/08/05,Inverness C,Rangers,0,1,A,0,0,D,C Murray,14,14,5,6,13,16,7,7,1,4,0,0
9,SC0,06/08/05,Livingston,Falkirk,0,2,A,0,1,A,E Smith,9,11,3,7,17,12,6,4,3,0,0,0
10,SC0,06/08/05,Motherwell,Dunfermline,1,0,H,0,0,D,S Conroy,15,7,7,3,13,11,7,0,1,1,0,1
11,SC0,07/08/05,Hearts,Hibernian,4,0,H,1,0,H,S Dougal,11,4,5,1,21,19,12,2,2,3,0,0
12,SC0,13/08/05,Celtic,Falkirk,3,1,H,0,1,A,A Freeland,13,5,8,1,9,13,10,0,1,3,0,0
13,SC0,13/08/05,Dunfermline,Inverness C,0,1,A,0,1,A,C Thompson,9,6,4,3,11,12,11,3,1,3,0,0
14,SC0,13/08/05,Hibernian,Livingston,3,0,H,2,0,H,K Turner,10,9,7,1,9,16,7,5,0,5,0,0
15,SC0,13/08/05,Kilmarnock,Motherwell,4,1,H,2,1,H,D McDonald,9,8,6,4,17,14,4,6,0,3,0,0
16,SC0,14/08/05,Aberdeen,Rangers,3,2,H,2,1,H,J Underhill,3,7,3,2,11,19,4,3,2,4,0,1
17,SC0,14/08/05,Dundee United,Hearts,0,3,A,0,2,A,C Richmond,13,19,6,11,14,23,8,8,4,3,0,0
18,SC0,20/08/05,Falkirk,Hibernian,0,2,A,0,1,A,B Winter,18,12,7,7,13,15,9,5,3,2,0,0
19,SC0,20/08/05,Hearts,Aberdeen,2,0,H,1,0,H,M McCurry,14,5,7,4,16,10,2,3,1,2,0,0
20,SC0,20/08/05,Inverness C,Kilmarnock,2,2,D,1,0,H,I Brines,11,8,6,4,9,16,6,7,2,0,0,0
21,SC0,20/08/05,Livingston,Dunfermline,1,1,D,0,1,A,C Murray,7,6,4,3,12,13,7,8,3,2,0,0
22,SC0,20/08/05,Motherwell,Dundee United,4,5,A,2,1,H,M Ritchie,12,12,10,7,13,9,7,5,2,2,0,0
23,SC0,20/08/05,Rangers,Celtic,3,1,H,1,0,H,S Dougal,14,6,9,2,20,9,6,3,3,2,0,1
24,SC0,27/08/05,Aberdeen,Falkirk,3,0,H,3,0,H,S Conroy,11,8,5,2,6,9,6,4,0,2,0,0
25,SC0,27/08/05,Hearts,Motherwell,2,1,H,1,0,H,C Thomson,13,11,7,4,18,17,7,2,0,1,0,0
26,SC0,27/08/05,Kilmarnock,Livingston,3,0,H,3,0,H,M McCurry,15,5,7,3,11,12,13,6,1,2,0,0
27,SC0,27/08/05,Rangers,Hibernian,0,3,A,0,0,D,I Brines,15,6,6,5,13,12,5,3,0,1,0,0
28,SC0,28/08/05,Dundee United,Inverness C,1,1,D,0,0,D,E Smith,11,12,7,7,11,11,6,12,2,2,0,0
29,SC0,28/08/05,Dunfermline,Celtic,0,4,A,0,2,A,K Clark,9,11,6,6,17,13,10,0,1,0,0,0
30,SC0,10/09/05,Celtic,Aberdeen,2,0,H,1,0,H,C Richmond,8,2,4,0,4,11,7,2,0,1,0,0
31,SC0,10/09/05,Falkirk,Rangers,1,1,D,0,1,A,C MacKay,6,12,2,6,24,20,3,5,2,2,0,0
32,SC0,10/09/05,Hibernian,Dundee United,2,1,H,1,1,D,K Clark,12,11,5,6,9,16,2,3,1,5,0,0
33,SC0,10/09/05,Inverness C,Motherwell,1,2,A,1,0,H,I Fife,10,16,5,9,19,14,6,6,2,1,0,0
34,SC0,10/09/05,Kilmarnock,Dunfermline,3,2,H,2,1,H,B Winter,18,8,9,5,13,14,10,2,0,1,0,0
35,SC0,11/09/05,Livingston,Hearts,1,4,A,1,3,A,Douglas McDonald,8,6,6,4,26,16,5,5,3,1,0,0
36,SC0,17/09/05,Dundee United,Livingston,2,0,H,1,0,H,A Freeland,16,7,7,2,14,16,8,5,1,1,0,0
37,SC0,17/09/05,Dunfermline,Aberdeen,0,2,A,0,2,A,I Brines,9,10,7,5,19,16,6,3,0,1,0,0
38,SC0,17/09/05,Inverness C,Hearts,0,1,A,0,1,A,M McCurry,3,6,1,4,18,11,5,10,2,1,0,0
39,SC0,17/09/05,Motherwell,Falkirk,5,0,H,2,0,H,J Underhill,16,8,8,4,6,14,8,5,0,2,0,0
40,SC0,17/09/05,Rangers,Kilmarnock,3,0,H,1,0,H,C Murray,9,7,5,1,9,16,9,2,0,1,0,0
41,SC0,18/09/05,Hibernian,Celtic,0,1,A,0,1,A,Craig Thomson,8,8,5,6,16,11,3,3,1,3,0,0
42,SC0,24/09/05,Aberdeen,Livingston,0,0,D,0,0,D,E Smith,8,4,6,2,5,17,9,1,0,3,0,0
43,SC0,24/09/05,Celtic,Inverness C,2,1,H,0,0,D,S Conroy,15,6,10,3,5,10,6,3,0,1,0,0
