,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR
286,D1,03/05/06,Schalke 04,Bielefeld,3,1,H,1,0,H,24,6,24,21,4,2,2,3,0,0
287,D1,03/05/06,Wolfsburg,Mainz,0,3,A,0,1,A,17,9,17,21,8,2,3,1,0,0
288,D1,06/05/06,Bielefeld,Duisburg,0,2,A,0,0,D,14,11,15,21,7,8,2,0,0,0
289,D1,06/05/06,Dortmund,Ein Frankfurt,1,1,D,0,0,D,18,8,21,19,10,3,2,3,0,0
290,D1,06/05/06,Hertha,Hamburg,4,2,H,1,2,A,19,26,16,18,3,9,4,2,1,0
291,D1,06/05/06,Kaiserslautern,Bayern Munich,1,1,D,1,0,H,5,18,15,13,3,8,1,0,0,0
292,D1,06/05/06,Leverkusen,Nurnberg,2,2,D,0,1,A,18,12,10,22,5,3,0,3,0,0
293,D1,06/05/06,Mainz,Schalke 04,1,0,H,1,0,H,9,12,22,15,1,7,1,1,0,0
294,D1,06/05/06,M'gladbach,Hannover,2,2,D,0,1,A,22,9,16,15,13,6,2,1,0,0
295,D1,06/05/06,Stuttgart,Wolfsburg,2,1,H,1,1,D,17,14,24,16,5,3,4,0,0,0
296,D1,06/05/06,Werder Bremen,FC Koln,6,0,H,3,0,H,19,12,20,18,4,5,1,0,0,0
297,D1,13/05/06,Bayern Munich,Dortmund,3,3,D,1,1,D,19,13,19,17,6,4,1,1,0,0
298,D1,13/05/06,Duisburg,Mainz,0,0,D,0,0,D,17,15,20,16,6,5,2,2,0,0
299,D1,13/05/06,Ein Frankfurt,M'gladbach,0,2,A,0,0,D,16,14,23,16,3,7,2,3,0,0
300,D1,13/05/06,FC Koln,Bielefeld,4,2,H,1,0,H,20,13,14,10,4,5,2,0,0,0
301,D1,13/05/06,Hamburg,Werder Bremen,1,2,A,0,1,A,12,11,22,23,7,4,4,2,0,0
302,D1,13/05/06,Hannover,Leverkusen,2,2,D,1,2,A,17,8,22,15,6,2,0,0,0,0
303,D1,13/05/06,Nurnberg,Hertha,2,1,H,1,1,D,21,17,19,23,4,8,3,5,1,1
304,D1,13/05/06,Schalke 04,Stuttgart,3,2,H,0,1,A,23,15,8,36,5,4,0,1,0,0
305,D1,13/05/06,Wolfsburg,Kaiserslautern,2,2,D,0,1,A,19,8,21,25,4,3,5,4,0,0
