,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
38,I1,21/09/05,Treviso,Sampdoria,0,2,A,0,1,A,L. Banti,11.0,9.0,4.0,6.0,15.0,12.0,3.0,5.0,3,0,0,0
39,I1,21/09/05,Udinese,Juventus,0,1,A,0,1,A,N. Ayroldi,6.0,7.0,3.0,3.0,24.0,18.0,3.0,1.0,3,1,0,0
40,I1,24/09/05,Parma,Juventus,1,2,A,1,1,D,T. Pieri,5.0,8.0,3.0,6.0,27.0,27.0,2.0,5.0,3,3,0,0
41,I1,24/09/05,Reggina,Udinese,2,0,H,1,0,H,M. Gabriele,6.0,7.0,4.0,3.0,20.0,26.0,4.0,7.0,4,3,0,1
42,I1,25/09/05,Cagliari,Roma,0,0,D,0,0,D,A. Dattilo,8.0,12.0,3.0,5.0,12.0,17.0,2.0,3.0,2,2,0,0
43,I1,25/09/05,Empoli,Lecce,1,0,H,0,0,D,O. Pantana,5.0,12.0,2.0,2.0,21.0,24.0,3.0,5.0,1,4,0,0
44,I1,25/09/05,Inter,Fiorentina,1,0,H,1,0,H,S. Farina,17.0,4.0,7.0,2.0,26.0,20.0,6.0,3.0,2,3,0,0
45,I1,25/09/05,Lazio,Palermo,4,2,H,0,1,A,M. Saccani,8.0,10.0,5.0,4.0,23.0,21.0,8.0,7.0,2,3,0,0
46,I1,25/09/05,Livorno,Ascoli,2,0,H,0,0,D,C. Brighi,9.0,5.0,2.0,2.0,10.0,15.0,4.0,3.0,0,2,0,1
47,I1,25/09/05,Sampdoria,Chievo,1,2,A,0,1,A,S. Cassara',8.0,10.0,5.0,6.0,18.0,26.0,6.0,7.0,2,4,0,0
48,I1,25/09/05,Siena,Messina,4,2,H,3,1,H,A. De Marco,12.0,6.0,5.0,3.0,17.0,16.0,6.0,2.0,1,2,0,0
49,I1,25/09/05,Treviso,Milan,0,2,A,0,1,A,L. Palanca,6.0,12.0,2.0,6.0,22.0,13.0,4.0,2.0,3,0,0,0
50,I1,01/10/05,Chievo,Treviso,0,0,D,0,0,D,M. Mazzoleni,11.0,7.0,0.0,3.0,24.0,22.0,6.0,4.0,3,2,0,0
51,I1,01/10/05,Udinese,Lazio,3,0,H,0,0,D,R. Rosetti,19.0,6.0,10.0,1.0,18.0,25.0,10.0,1.0,2,3,0,0
52,I1,02/10/05,Ascoli,Parma,3,1,H,2,1,H,D. Preschern,10.0,10.0,6.0,4.0,23.0,22.0,5.0,5.0,3,5,0,1
53,I1,02/10/05,Fiorentina,Livorno,3,2,H,2,0,H,N. Ayroldi,11.0,9.0,5.0,5.0,19.0,21.0,2.0,7.0,2,2,0,1
54,I1,02/10/05,Juventus,Inter,2,0,H,2,0,H,G. Paparesta,8.0,11.0,5.0,6.0,29.0,22.0,1.0,9.0,2,3,0,0
55,I1,02/10/05,Lecce,Cagliari,3,0,H,2,0,H,O. Girardi,11.0,17.0,8.0,7.0,24.0,16.0,4.0,8.0,0,3,0,0
56,I1,02/10/05,Messina,Sampdoria,1,4,A,0,1,A,M. De Santis,18.0,12.0,10.0,7.0,15.0,18.0,5.0,0.0,4,3,0,0
57,I1,02/10/05,Milan,Reggina,2,1,H,2,0,H,N. Rizzoli,17.0,8.0,7.0,1.0,13.0,10.0,7.0,1.0,1,0,0,0
58,I1,02/10/05,Palermo,Empoli,2,2,D,1,2,A,L. Banti,21.0,5.0,10.0,4.0,13.0,11.0,11.0,0.0,0,2,0,0
59,I1,02/10/05,Roma,Siena,2,3,A,0,1,A,E. Morganti,15.0,5.0,9.0,4.0,19.0,17.0,14.0,5.0,2,3,0,1
60,I1,15/10/05,Juventus,Messina,1,0,H,1,0,H,M. Bergonzi,14.0,8.0,10.0,4.0,24.0,26.0,6.0,1.0,2,4,0,0
61,I1,15/10/05,Siena,Udinese,2,3,A,0,2,A,P. Tagliavento,11.0,13.0,6.0,8.0,16.0,19.0,3.0,6.0,2,4,0,1
62,I1,16/10/05,Ascoli,Sampdoria,2,1,H,1,0,H,M. Saccani,13.0,13.0,9.0,7.0,17.0,19.0,4.0,9.0,2,1,0,0
63,I1,16/10/05,Cagliari,Milan,0,2,A,0,2,A,D. Messina,10.0,9.0,5.0,4.0,15.0,16.0,6.0,3.0,1,1,0,0
64,I1,16/10/05,Empoli,Roma,1,0,H,0,0,D,T. Pieri,7.0,8.0,4.0,4.0,12.0,17.0,4.0,11.0,0,3,1,0
65,I1,16/10/05,Inter,Livorno,5,0,H,2,0,H,P. Rodomonti,15.0,5.0,11.0,1.0,20.0,16.0,4.0,2.0,1,0,0,1
66,I1,16/10/05,Lazio,Fiorentina,1,0,H,0,0,D,N. Rizzoli,10.0,12.0,9.0,4.0,15.0,21.0,8.0,7.0,1,3,0,0
67,I1,16/10/05,Palermo,Chievo,2,2,D,1,2,A,G. Rocchi,9.0,7.0,6.0,5.0,26.0,20.0,4.0,3.0,3,3,1,0
68,I1,16/10/05,Parma,Treviso,1,1,D,1,0,H,A. Giannoccaro,5.0,13.0,2.0,4.0,16.0,37.0,1.0,7.0,3,5,0,0
69,I1,16/10/05,Reggina,Lecce,2,0,H,1,0,H,M. Trefoloni,12.0,9.0,8.0,4.0,12.0,25.0,4.0,3.0,2,4,0,1
70,I1,22/10/05,Fiorentina,Parma,4,1,H,3,0,H,E. Morganti,11.0,9.0,6.0,4.0,12.0,17.0,6.0,5.0,1,2,0,0
71,I1,22/10/05,Messina,Ascoli,1,1,D,1,0,H,L. Banti,10.0,6.0,3.0,2.0,16.0,12.0,3.0,4.0,3,1,1,1
72,I1,23/10/05,Chievo,Cagliari,2,1,H,0,0,D,P. Mazzoleni,12.0,5.0,5.0,2.0,24.0,29.0,10.0,1.0,1,3,0,0
73,I1,23/10/05,Lecce,Juventus,0,3,A,0,1,A,S. Racalbuto,5.0,17.0,2.0,9.0,30.0,27.0,9.0,5.0,1,0,0,0
74,I1,23/10/05,Livorno,Reggina,1,0,H,0,0,D,P. Bertini,15.0,7.0,6.0,1.0,21.0,20.0,10.0,7.0,2,2,1,1
75,I1,23/10/05,Milan,Palermo,2,1,H,1,1,D,S. Farina,16.0,8.0,11.0,4.0,19.0,18.0,6.0,6.0,1,3,0,0
