,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,I1,20/08/16,Juventus,Fiorentina,2,1,H,1.0,0.0,H,19,4,4,1,11,16,3,1,1,3,0,0
1,I1,20/08/16,Roma,Udinese,4,0,H,0.0,0.0,D,25,11,9,1,8,14,10,5,0,2,0,0
2,I1,21/08/16,Atalanta,Lazio,3,4,A,0.0,3.0,A,19,11,6,6,5,16,7,2,2,2,0,0
3,I1,21/08/16,Bologna,Crotone,1,0,H,0.0,0.0,D,20,5,6,0,7,17,5,3,1,1,0,0
4,I1,21/08/16,Chievo,Inter,2,0,H,0.0,0.0,D,12,13,4,3,15,13,4,8,2,4,0,0
5,I1,21/08/16,Empoli,Sampdoria,0,1,A,0.0,1.0,A,8,15,3,5,17,32,2,5,3,4,1,0
6,I1,21/08/16,Genoa,Cagliari,3,1,H,0.0,0.0,D,22,4,6,3,13,10,6,1,4,3,0,0
7,I1,21/08/16,Milan,Torino,3,2,H,1.0,0.0,H,11,20,5,4,13,20,10,10,0,3,1,0
8,I1,21/08/16,Palermo,Sassuolo,0,1,A,0.0,1.0,A,7,22,2,8,19,15,4,8,1,2,1,0
9,I1,21/08/16,Pescara,Napoli,2,2,D,2.0,0.0,H,9,22,3,4,10,12,3,9,3,2,0,0
10,I1,27/08/16,Lazio,Juventus,0,1,A,0.0,0.0,D,6,13,1,5,16,5,4,2,1,2,0,0
11,I1,27/08/16,Napoli,Milan,4,2,H,2.0,0.0,H,17,12,8,3,13,15,9,4,5,4,0,2
12,I1,28/08/16,Cagliari,Roma,2,2,D,0.0,1.0,A,17,21,5,7,21,9,4,3,3,1,0,0
13,I1,28/08/16,Crotone,Genoa,1,3,A,1.0,0.0,H,11,18,3,8,16,17,1,6,2,2,0,0
14,I1,28/08/16,Fiorentina,Chievo,1,0,H,1.0,0.0,H,13,9,3,2,8,16,4,4,0,2,0,0
15,I1,28/08/16,Inter,Palermo,1,1,D,0.0,0.0,D,22,7,5,3,16,24,8,4,1,5,0,0
16,I1,28/08/16,Sampdoria,Atalanta,2,1,H,2.0,1.0,H,8,7,4,1,13,16,3,1,1,4,0,1
17,I1,28/08/16,Sassuolo,Pescara,0,3,A,,,,13,15,3,5,12,21,2,7,2,2,0,0
18,I1,28/08/16,Torino,Bologna,5,1,H,2.0,1.0,H,20,10,11,2,14,12,6,3,1,2,0,0
19,I1,28/08/16,Udinese,Empoli,2,0,H,1.0,0.0,H,11,13,3,4,15,19,4,5,3,3,0,1
20,I1,10/09/16,Juventus,Sassuolo,3,1,H,3.0,1.0,H,23,9,10,3,10,12,14,5,1,2,0,0
21,I1,10/09/16,Palermo,Napoli,0,3,A,0.0,0.0,D,5,17,1,7,14,7,2,4,0,0,0,0
22,I1,11/09/16,Atalanta,Torino,2,1,H,0.0,0.0,D,22,14,3,7,16,20,4,4,2,2,0,0
