,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HY,AY,HR,AR
190,F1,04/01/06,Le Mans,Metz,2,0,H,0,0,D,13.0,6.0,10.0,3.0,0,2,0,0
191,F1,04/01/06,Lille,Ajaccio,2,0,H,1,0,H,9.0,7.0,3.0,2.0,4,1,0,0
192,F1,04/01/06,Marseille,Lens,1,1,D,1,0,H,7.0,10.0,3.0,4.0,2,2,0,1
193,F1,04/01/06,Nancy,Bordeaux,0,0,D,0,0,D,10.0,4.0,7.0,3.0,1,1,0,0
194,F1,04/01/06,Nantes,Rennes,0,2,A,0,1,A,20.0,17.0,10.0,7.0,0,3,0,0
195,F1,04/01/06,Nice,Toulouse,2,1,H,2,0,H,13.0,8.0,3.0,2.0,2,1,0,0
196,F1,04/01/06,Paris SG,Sochaux,3,1,H,1,0,H,14.0,4.0,10.0,4.0,3,1,0,0
197,F1,04/01/06,St Etienne,Troyes,1,1,D,0,1,A,8.0,6.0,4.0,4.0,1,3,1,1
198,F1,04/01/06,Strasbourg,Lyon,0,4,A,0,2,A,16.0,13.0,9.0,7.0,1,0,0,0
199,F1,05/01/06,Auxerre,Monaco,2,1,H,1,1,D,10.0,4.0,7.0,2.0,1,2,0,0
200,F1,11/01/06,Ajaccio,Nantes,0,2,A,0,2,A,13.0,4.0,5.0,3.0,3,1,0,0
201,F1,11/01/06,Bordeaux,Auxerre,1,0,H,0,0,D,6.0,3.0,2.0,0.0,2,2,0,0
202,F1,11/01/06,Lens,Nancy,1,2,A,1,1,D,9.0,9.0,2.0,5.0,0,1,0,0
203,F1,11/01/06,Lyon,Marseille,2,1,H,0,1,A,18.0,7.0,8.0,2.0,2,4,0,1
204,F1,11/01/06,Metz,St Etienne,0,1,A,0,1,A,10.0,8.0,6.0,4.0,3,2,0,0
205,F1,11/01/06,Monaco,Strasbourg,1,1,D,0,0,D,10.0,9.0,6.0,4.0,3,3,0,0
206,F1,11/01/06,Rennes,Le Mans,1,0,H,0,0,D,10.0,10.0,7.0,6.0,1,2,0,0
207,F1,11/01/06,Sochaux,Nice,1,1,D,1,1,D,10.0,11.0,7.0,3.0,1,2,0,0
208,F1,11/01/06,Troyes,Lille,1,0,H,1,0,H,9.0,10.0,1.0,2.0,3,1,0,0
209,F1,12/01/06,Toulouse,Paris SG,1,0,H,0,0,D,5.0,2.0,3.0,0.0,1,3,0,0
210,F1,14/01/06,Auxerre,Lens,1,0,H,1,0,H,7.0,3.0,2.0,1.0,2,1,0,0
211,F1,14/01/06,Le Mans,Ajaccio,1,0,H,0,0,D,6.0,6.0,1.0,2.0,2,1,0,0
212,F1,14/01/06,Lille,Sochaux,3,0,H,2,0,H,6.0,6.0,3.0,0.0,2,3,0,0
213,F1,14/01/06,Monaco,Bordeaux,0,1,A,0,0,D,11.0,9.0,7.0,6.0,2,2,0,0
214,F1,14/01/06,Nancy,Lyon,0,2,A,0,0,D,23.0,9.0,3.0,4.0,2,1,0,0
215,F1,14/01/06,Nantes,Nice,0,0,D,0,0,D,8.0,6.0,5.0,3.0,2,1,0,0
216,F1,14/01/06,Strasbourg,Metz,2,1,H,2,0,H,8.0,6.0,4.0,1.0,2,1,0,1
217,F1,15/01/06,Marseille,Rennes,1,0,H,0,0,D,22.0,8.0,10.0,4.0,1,2,0,0
218,F1,15/01/06,Paris SG,Troyes,2,1,H,1,0,H,15.0,4.0,7.0,3.0,3,2,0,0
219,F1,21/01/06,Ajaccio,Marseille,3,1,H,1,1,D,17.0,7.0,5.0,4.0,1,3,0,0
220,F1,21/01/06,Bordeaux,Strasbourg,2,1,H,1,1,D,16.0,6.0,10.0,3.0,3,1,0,1
221,F1,21/01/06,Metz,Nantes,1,4,A,1,2,A,16.0,10.0,9.0,6.0,2,3,0,0
222,F1,21/01/06,Nice,Paris SG,1,0,H,0,0,D,8.0,5.0,3.0,3.0,1,1,0,0
223,F1,21/01/06,Rennes,Nancy,0,2,A,0,0,D,9.0,4.0,3.0,2.0,2,3,0,1
224,F1,21/01/06,Sochaux,St Etienne,4,0,H,1,0,H,24.0,8.0,11.0,1.0,1,1,0,1
225,F1,21/01/06,Toulouse,Lille,0,0,D,0,0,D,5.0,10.0,1.0,3.0,1,1,0,0
226,F1,21/01/06,Troyes,Le Mans,1,3,A,0,2,A,17.0,14.0,7.0,9.0,0,1,0,0
227,F1,22/01/06,Lens,Monaco,1,1,D,1,1,D,13.0,4.0,6.0,3.0,1,3,0,0
228,F1,22/01/06,Lyon,Auxerre,1,1,D,1,0,H,14.0,14.0,7.0,5.0,0,0,0,0
229,F1,28/01/06,Auxerre,Rennes,2,0,H,0,0,D,9.0,11.0,5.0,5.0,0,1,1,0
230,F1,28/01/06,Bordeaux,Lens,1,0,H,1,0,H,5.0,12.0,1.0,1.0,3,4,0,0
231,F1,28/01/06,Le Mans,Toulouse,1,1,D,1,1,D,13.0,5.0,7.0,4.0,4,1,0,0
232,F1,28/01/06,Marseille,Sochaux,0,0,D,0,0,D,10.0,9.0,6.0,5.0,1,2,0,0
233,F1,28/01/06,Nancy,Ajaccio,0,0,D,0,0,D,10.0,7.0,6.0,2.0,3,4,0,0
