,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR
290,F1,31/03/2007,Lorient,Marseille,2,1,H,0,0,D,15,18,4,5,3,2,0,2,0,0
291,F1,01/04/2007,Le Mans,Auxerre,2,2,D,0,0,D,7,11,5,5,3,5,1,1,0,0
292,F1,01/04/2007,Lens,Paris SG,1,2,A,0,1,A,12,6,5,3,5,2,1,1,0,0
293,F1,01/04/2007,Lille,Valenciennes,0,2,A,0,0,D,9,9,4,3,8,1,3,1,0,0
294,F1,01/04/2007,Nantes,Sedan,0,1,A,0,0,D,10,7,4,4,7,4,1,0,0,0
295,F1,01/04/2007,Nice,Monaco,1,1,D,1,0,H,7,5,4,3,0,4,3,4,1,0
296,F1,01/04/2007,Toulouse,St Etienne,1,0,H,0,0,D,8,5,4,3,2,3,1,2,0,0
297,F1,01/04/2007,Troyes,Sochaux,0,1,A,0,1,A,8,4,3,1,7,3,3,3,1,1
298,F1,07/04/2007,Auxerre,Bordeaux,0,0,D,0,0,D,10,13,6,4,3,9,3,3,1,0
299,F1,07/04/2007,Monaco,Troyes,0,0,D,0,0,D,8,6,2,4,7,5,1,1,0,0
300,F1,07/04/2007,Nancy,Lorient,0,1,A,0,0,D,6,11,2,5,3,6,1,3,1,0
301,F1,07/04/2007,Paris SG,Le Mans,2,1,H,0,1,A,6,10,2,3,5,7,0,2,0,0
302,F1,07/04/2007,Rennes,Lens,1,0,H,1,0,H,8,10,1,4,2,4,0,2,0,0
303,F1,07/04/2007,Sochaux,Nice,1,1,D,0,0,D,9,3,4,2,7,1,0,1,0,0
304,F1,07/04/2007,St Etienne,Nantes,2,1,H,2,1,H,6,10,2,3,5,7,0,2,0,0
305,F1,07/04/2007,Valenciennes,Lyon,0,0,D,0,0,D,6,11,2,5,3,6,3,2,0,0
306,F1,08/04/2007,Marseille,Lille,4,1,H,2,1,H,13,10,6,2,9,3,3,2,0,1
307,F1,08/04/2007,Sedan,Toulouse,0,2,A,0,0,D,8,10,1,5,3,0,0,1,0,0
308,F1,14/04/2007,Bordeaux,Paris SG,0,0,D,0,0,D,12,11,2,2,3,4,0,0,0,0
309,F1,14/04/2007,Le Mans,Rennes,0,0,D,0,0,D,14,10,4,4,4,4,2,3,0,0
310,F1,14/04/2007,Lille,Sochaux,2,0,H,0,0,D,10,5,4,2,3,5,2,1,0,0
311,F1,14/04/2007,Lorient,Monaco,0,0,D,0,0,D,10,6,5,0,4,1,1,2,0,0
312,F1,14/04/2007,Nantes,Lens,0,0,D,0,0,D,8,4,2,1,5,5,1,3,0,0
313,F1,14/04/2007,Toulouse,Auxerre,2,0,H,2,0,H,9,10,6,5,3,7,1,1,0,0
314,F1,14/04/2007,Troyes,Nancy,0,0,D,0,0,D,4,4,0,3,4,3,1,1,0,0
315,F1,14/04/2007,Valenciennes,Marseille,0,0,D,0,0,D,7,9,5,3,5,3,2,2,0,0
316,F1,15/04/2007,Lyon,Sedan,1,0,H,1,0,H,17,7,8,5,3,1,2,1,0,0
317,F1,15/04/2007,Nice,St Etienne,2,1,H,0,0,D,10,12,3,5,1,1,2,3,0,0
318,F1,18/04/2007,Bordeaux,Nancy,3,0,H,2,0,H,13,9,4,2,4,2,0,2,0,0
319,F1,18/04/2007,Lyon,Rennes,0,0,D,0,0,D,8,1,1,0,2,1,1,1,0,0
320,F1,21/04/2007,Lens,Le Mans,2,0,H,0,0,D,15,8,11,7,13,7,2,3,0,0
321,F1,21/04/2007,Marseille,Troyes,2,1,H,0,0,D,16,7,4,5,3,2,1,0,0,0
322,F1,21/04/2007,Monaco,Lille,3,1,H,1,0,H,10,8,5,5,2,2,2,2,0,1
323,F1,21/04/2007,Nancy,Valenciennes,1,0,H,1,0,H,10,4,6,1,8,0,1,4,0,0
324,F1,21/04/2007,Paris SG,Nantes,4,0,H,2,0,H,13,9,7,3,1,8,2,3,0,0
325,F1,21/04/2007,Rennes,Toulouse,3,2,H,0,1,A,19,8,7,3,5,5,0,2,0,0
326,F1,21/04/2007,Sedan,Nice,1,1,D,0,0,D,14,14,11,9,8,4,3,1,0,0
327,F1,21/04/2007,Sochaux,Lorient,1,1,D,0,0,D,16,15,6,3,7,5,1,1,0,0
328,F1,22/04/2007,Auxerre,Lyon,0,0,D,0,0,D,4,15,1,7,1,3,2,3,0,0
329,F1,22/04/2007,St Etienne,Bordeaux,0,2,A,0,0,D,11,6,6,2,2,1,3,1,0,0
330,F1,28/04/2007,Lille,Nancy,0,1,A,0,0,D,11,8,4,4,3,6,3,0,0,0
331,F1,28/04/2007,Lorient,St Etienne,0,0,D,0,0,D,6,9,2,3,3,1,0,1,0,0
332,F1,28/04/2007,Lyon,Le Mans,2,1,H,1,0,H,13,4,9,2,1,1,1,2,0,0
333,F1,28/04/2007,Nantes,Rennes,0,2,A,0,0,D,10,10,3,7,4,3,2,0,0,0
334,F1,28/04/2007,Nice,Auxerre,0,0,D,0,0,D,6,8,3,6,4,3,1,2,0,0
335,F1,28/04/2007,Toulouse,Paris SG,1,3,A,1,2,A,11,8,7,5,3,3,1,4,0,1
336,F1,28/04/2007,Troyes,Sedan,3,2,H,1,0,H,20,7,10,5,8,3,1,4,0,1
337,F1,28/04/2007,Valenciennes,Monaco,2,2,D,0,0,D,24,16,9,6,6,4,0,2,0,0
338,F1,29/04/2007,Bordeaux,Lens,1,0,H,1,0,H,5,7,1,0,3,5,4,2,1,0
339,F1,29/04/2007,Marseille,Sochaux,4,2,H,1,1,D,10,7,7,3,1,3,2,1,0,0
340,F1,05/05/2007,Auxerre,Troyes,1,0,H,0,0,D,11,9,8,3,6,3,0,2,0,1
341,F1,05/05/2007,Le Mans,Nantes,1,1,D,1,0,H,14,8,7,3,5,4,1,1,0,0
342,F1,05/05/2007,Lens,Toulouse,2,0,H,0,0,D,17,9,12,4,12,1,0,3,0,0
343,F1,05/05/2007,Nancy,Nice,3,0,H,3,0,H,12,11,7,7,3,9,2,2,0,0
344,F1,05/05/2007,Paris SG,Lyon,1,1,D,0,0,D,9,16,3,7,4,8,0,1,0,0
345,F1,05/05/2007,Rennes,Bordeaux,0,0,D,0,0,D,12,18,3,6,7,4,2,2,0,0
346,F1,05/05/2007,Sedan,Lorient,3,1,H,1,1,D,6,6,2,3,3,2,1,0,0,0
347,F1,05/05/2007,Sochaux,Valenciennes,1,0,H,0,0,D,16,6,6,3,11,8,1,1,0,0
348,F1,06/05/2007,Monaco,Marseille,1,2,A,1,1,D,6,7,2,1,1,5,3,2,0,0
349,F1,06/05/2007,St Etienne,Lille,2,1,H,1,0,H,8,8,5,2,1,4,0,1,0,0
350,F1,09/05/2007,Bordeaux,Nantes,0,1,A,0,0,D,14,7,5,3,8,4,1,2,0,0
351,F1,09/05/2007,Lille,Sedan,2,1,H,2,1,H,19,4,9,2,8,4,0,2,0,0
352,F1,09/05/2007,Lorient,Auxerre,2,1,H,1,1,D,7,4,5,1,1,2,0,2,0,0
353,F1,09/05/2007,Lyon,Lens,3,0,H,3,0,H,13,1,7,1,4,5,1,1,0,0
354,F1,09/05/2007,Marseille,Nancy,2,1,H,0,0,D,28,11,12,4,6,3,1,3,0,1
355,F1,09/05/2007,Nice,Paris SG,1,0,H,1,0,H,11,9,4,1,2,6,2,2,0,0
356,F1,09/05/2007,Sochaux,Monaco,2,1,H,1,1,D,21,10,6,3,10,5,2,0,0,1
357,F1,09/05/2007,Troyes,Rennes,2,2,D,2,2,D,12,11,6,5,5,4,0,1,1,0
358,F1,09/05/2007,Valenciennes,St Etienne,1,0,H,0,0,D,11,13,6,2,5,2,3,2,0,0
359,F1,10/05/2007,Toulouse,Le Mans,0,1,A,0,0,D,7,7,3,4,2,5,2,1,0,0
360,F1,19/05/2007,Auxerre,Lille,2,1,H,1,1,D,7,12,2,8,6,4,0,0,0,0
361,F1,19/05/2007,Le Mans,Bordeaux,1,1,D,0,0,D,12,12,4,5,6,5,2,0,0,0
362,F1,19/05/2007,Lens,Nice,0,0,D,0,0,D,9,6,1,4,5,2,2,3,0,0
363,F1,19/05/2007,Monaco,Lyon,1,0,H,0,0,D,10,15,5,5,7,8,3,1,0,0
364,F1,19/05/2007,Nancy,Sochaux,5,2,H,2,1,H,8,8,4,2,3,3,0,2,0,0
365,F1,19/05/2007,Nantes,Toulouse,0,0,D,0,0,D,9,3,2,1,2,2,1,1,0,1
366,F1,19/05/2007,Paris SG,Troyes,2,1,H,0,1,A,12,11,8,6,6,3,2,2,0,0
367,F1,19/05/2007,Rennes,Lorient,4,1,H,1,1,D,10,8,6,7,5,1,2,1,0,0
368,F1,19/05/2007,Sedan,Valenciennes,1,1,D,0,0,D,8,5,3,2,4,3,0,0,0,0
369,F1,19/05/2007,St Etienne,Marseille,1,2,A,0,0,D,11,9,4,3,6,2,1,1,0,0
370,F1,26/05/2007,Lille,Rennes,1,1,D,0,0,D,8,6,2,2,3,3,2,2,0,0
371,F1,26/05/2007,Lorient,Paris SG,0,1,A,0,0,D,8,16,2,7,4,10,0,1,0,0
372,F1,26/05/2007,Lyon,Nantes,3,1,H,1,0,H,17,7,9,4,8,1,0,0,0,0
373,F1,26/05/2007,Marseille,Sedan,1,0,H,0,0,D,17,10,5,2,5,5,0,0,1,1
374,F1,26/05/2007,Monaco,Nancy,2,0,H,1,0,H,5,10,4,1,1,7,1,0,0,0
375,F1,26/05/2007,Nice,Le Mans,3,3,D,2,1,H,15,15,6,6,5,0,3,2,0,0
376,F1,26/05/2007,Sochaux,St Etienne,1,0,H,1,0,H,13,11,5,5,2,4,0,0,0,0
377,F1,26/05/2007,Toulouse,Bordeaux,3,1,H,1,1,D,11,6,6,3,3,2,2,3,0,0
378,F1,26/05/2007,Troyes,Lens,3,0,H,1,0,H,11,13,9,8,4,8,1,3,0,1
379,F1,26/05/2007,Valenciennes,Auxerre,1,3,A,0,2,A,14,5,7,3,3,2,1,3,0,0
