,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
46,P1,16/09/17,Boavista,Benfica,2,1,H,0,1,A,6,13,4,9,15,19,3,11,2,1,0,0
47,P1,16/09/17,Maritimo,Aves,2,1,H,2,0,H,7,11,5,6,18,12,3,7,3,2,0,0
48,P1,16/09/17,Sp Lisbon,Tondela,2,0,H,1,0,H,8,1,4,0,14,20,3,4,2,3,0,0
49,P1,17/09/17,Belenenses,Estoril,2,1,H,0,0,D,12,14,7,7,18,18,6,4,4,3,0,1
50,P1,17/09/17,Rio Ave,Porto,1,2,A,0,0,D,5,8,2,5,10,24,2,4,5,4,1,0
51,P1,17/09/17,Sp Braga,Guimaraes,2,1,H,2,1,H,8,5,3,2,24,18,1,1,3,3,0,0
52,P1,18/09/17,Chaves,Moreirense,3,0,H,1,0,H,9,9,4,4,15,15,3,2,0,2,0,0
53,P1,18/09/17,Portimonense,Feirense,2,1,H,2,1,H,12,5,7,1,18,13,7,4,2,3,0,0
54,P1,22/09/17,Porto,Portimonense,5,2,H,3,1,H,16,9,9,6,13,9,5,4,2,2,0,0
55,P1,23/09/17,Benfica,Pacos Ferreira,2,0,H,1,0,H,17,3,9,2,12,11,11,2,3,2,0,0
56,P1,23/09/17,Estoril,Chaves,0,2,A,0,1,A,7,10,1,5,15,13,10,6,2,0,0,0
57,P1,23/09/17,Moreirense,Sp Lisbon,1,1,D,1,0,H,11,5,6,1,25,15,3,8,3,4,0,0
58,P1,24/09/17,Aves,Rio Ave,0,0,D,0,0,D,10,9,6,1,17,10,2,3,3,2,0,0
59,P1,24/09/17,Feirense,Belenenses,1,4,A,0,3,A,7,14,3,7,17,15,8,1,1,3,0,0
60,P1,24/09/17,Guimaraes,Maritimo,2,1,H,1,1,D,12,5,5,2,17,19,10,4,2,2,1,1
61,P1,24/09/17,Tondela,Sp Braga,1,2,A,1,1,D,6,11,2,3,14,21,3,6,2,3,1,0
62,P1,25/09/17,Setubal,Boavista,1,1,D,0,0,D,7,9,4,4,11,20,4,6,0,1,0,0
63,P1,29/09/17,Chaves,Tondela,1,1,D,1,1,D,15,5,7,1,11,16,10,3,2,2,0,2
64,P1,30/09/17,Boavista,Feirense,1,0,H,1,0,H,9,5,2,3,15,15,6,8,3,4,0,0
65,P1,30/09/17,Pacos Ferreira,Moreirense,3,2,H,2,1,H,6,13,5,8,20,19,2,6,4,1,0,0
66,P1,30/09/17,Portimonense,Aves,2,2,D,1,1,D,15,8,5,2,15,7,11,1,3,2,0,0
67,P1,30/09/17,Rio Ave,Setubal,2,1,H,0,0,D,9,5,6,1,12,20,3,4,3,2,0,0
68,P1,01/10/17,Belenenses,Guimaraes,1,0,H,1,0,H,4,8,2,2,15,15,1,11,4,1,0,0
69,P1,01/10/17,Maritimo,Benfica,1,1,D,0,1,A,10,11,6,5,12,17,4,8,2,1,0,0
70,P1,01/10/17,Sp Braga,Estoril,6,0,H,2,0,H,12,10,9,3,21,17,4,5,0,2,0,0
