,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
48,P1,22/09/2019,15:30,Gil Vicente,Boavista,0,0,D,0,0,D,15,4,6,0,18,19,10,4,5,2,0,1
49,P1,22/09/2019,18:00,Setubal,Portimonense,0,0,D,0,0,D,7,7,3,1,17,9,4,2,3,0,0,0
50,P1,22/09/2019,18:00,Tondela,Guimaraes,1,3,A,1,3,A,5,20,3,6,9,21,5,5,2,4,0,0
51,P1,22/09/2019,20:30,Porto,Santa Clara,2,0,H,2,0,H,19,6,7,2,25,11,9,0,4,4,0,0
52,P1,23/09/2019,19:00,Sp Braga,Maritimo,2,2,D,0,1,A,26,6,6,3,15,17,9,3,2,5,0,1
53,P1,23/09/2019,21:00,Sp Lisbon,Famalicao,1,2,A,1,0,H,20,13,5,7,16,14,6,6,3,2,0,0
54,P1,27/09/2019,20:30,Boavista,Tondela,0,0,D,0,0,D,16,5,3,0,21,17,6,4,3,4,0,0
55,P1,28/09/2019,16:30,Maritimo,Moreirense,2,1,H,0,0,D,12,12,4,4,13,21,6,2,4,6,0,0
56,P1,28/09/2019,19:00,Benfica,Setubal,1,0,H,0,0,D,13,9,3,2,11,8,14,3,4,4,1,0
57,P1,28/09/2019,21:30,Famalicao,Belenenses,3,1,H,0,1,A,16,9,6,3,15,10,6,2,2,2,0,0
58,P1,29/09/2019,16:00,Guimaraes,Pacos Ferreira,1,0,H,0,0,D,14,5,4,1,16,23,10,3,1,6,0,1
59,P1,29/09/2019,16:00,Santa Clara,Gil Vicente,1,0,H,0,0,D,14,7,6,5,17,15,6,6,4,1,0,1
60,P1,29/09/2019,18:00,Portimonense,Sp Braga,0,1,A,0,1,A,12,9,5,3,11,23,2,7,3,4,0,0
61,P1,29/09/2019,20:00,Rio Ave,Porto,0,1,A,0,1,A,8,13,1,5,15,15,0,6,3,3,0,0
62,P1,30/09/2019,20:15,Aves,Sp Lisbon,0,1,A,0,0,D,7,15,2,3,12,19,3,7,3,2,0,0
63,P1,05/10/2019,15:30,Aves,Tondela,0,1,A,0,0,D,12,11,1,2,12,14,6,8,1,1,0,0
64,P1,25/10/2019,20:30,Pacos Ferreira,Rio Ave,0,0,D,0,0,D,16,4,3,0,19,15,2,4,0,1,0,0
65,P1,26/10/2019,15:30,Belenenses,Aves,3,2,H,2,2,D,11,8,5,2,16,21,7,6,3,2,0,0
66,P1,26/10/2019,15:30,Gil Vicente,Portimonense,1,1,D,1,1,D,6,10,2,4,22,20,2,3,3,2,1,0
67,P1,26/10/2019,18:00,Setubal,Maritimo,0,0,D,0,0,D,11,10,2,3,14,20,5,5,0,1,0,0
68,P1,26/10/2019,20:30,Moreirense,Boavista,1,1,D,1,0,H,9,23,4,4,18,20,1,10,3,4,1,0
69,P1,27/10/2019,15:00,Tondela,Benfica,0,1,A,0,1,A,9,12,4,3,17,14,5,5,1,2,0,0
70,P1,27/10/2019,17:30,Porto,Famalicao,3,0,H,1,0,H,19,5,9,2,14,12,4,3,0,3,0,0
71,P1,27/10/2019,20:00,Sp Lisbon,Guimaraes,3,1,H,2,0,H,13,13,6,3,7,9,3,4,1,1,0,0
72,P1,28/10/2019,20:15,Sp Braga,Santa Clara,2,0,H,1,0,H,20,8,12,5,18,7,4,6,1,1,0,0
73,P1,30/10/2019,17:00,Rio Ave,Moreirense,1,1,D,0,1,A,20,8,7,4,14,14,13,3,1,1,0,0
74,P1,30/10/2019,18:45,Maritimo,Porto,1,1,D,1,0,H,6,14,2,5,17,20,6,9,4,5,0,0
75,P1,30/10/2019,20:00,Guimaraes,Belenenses,5,0,H,2,0,H,14,6,6,2,13,13,6,3,1,4,0,0
76,P1,30/10/2019,20:15,Benfica,Portimonense,4,0,H,1,0,H,17,8,6,2,14,9,5,1,1,1,0,0
77,P1,30/10/2019,21:00,Famalicao,Gil Vicente,2,1,H,1,0,H,10,12,2,4,17,15,9,2,3,1,0,0
78,P1,31/10/2019,19:45,Pacos Ferreira,Sp Lisbon,1,2,A,0,1,A,12,12,5,4,19,25,10,4,5,7,0,0
79,P1,31/10/2019,20:15,Boavista,Sp Braga,2,0,H,1,0,H,10,19,2,2,14,8,3,7,4,2,0,0
80,P1,31/10/2019,20:15,Santa Clara,Setubal,1,1,D,1,1,D,20,13,4,3,9,17,7,6,3,5,0,1
81,P1,02/11/2019,18:00,Benfica,Rio Ave,2,0,H,1,0,H,20,3,4,0,11,14,10,2,1,3,0,0
82,P1,02/11/2019,20:30,Moreirense,Guimaraes,1,1,D,0,0,D,7,15,1,6,21,11,8,9,5,3,0,0
83,P1,03/11/2019,15:00,Gil Vicente,Maritimo,2,0,H,0,0,D,15,8,6,1,18,14,4,3,0,0,0,0
84,P1,03/11/2019,17:30,Tondela,Sp Lisbon,1,0,H,0,0,D,5,15,3,3,15,13,1,7,4,3,0,0
85,P1,03/11/2019,20:00,Porto,Aves,1,0,H,1,0,H,12,9,4,0,21,15,6,2,1,1,0,0
86,P1,03/11/2019,20:15,Sp Braga,Famalicao,2,2,D,0,0,D,18,6,5,4,11,15,11,2,5,4,0,1
87,P1,04/11/2019,19:00,Belenenses,Pacos Ferreira,1,0,H,0,0,D,8,16,2,5,22,23,1,9,1,4,0,0
88,P1,04/11/2019,21:00,Portimonense,Santa Clara,1,1,D,1,0,H,14,15,4,4,11,15,4,8,4,2,0,0
89,P1,04/11/2019,21:00,Setubal,Boavista,1,0,H,0,0,D,7,27,2,5,8,9,2,11,3,4,0,0
90,P1,08/11/2019,20:30,Aves,Gil Vicente,1,2,A,1,2,A,5,5,4,4,19,26,7,4,2,3,0,0
91,P1,09/11/2019,15:30,Rio Ave,Setubal,1,0,H,1,0,H,7,10,3,3,14,10,9,4,0,1,0,0
92,P1,09/11/2019,18:00,Santa Clara,Benfica,1,2,A,1,0,H,12,11,3,6,13,10,2,4,3,3,0,0
93,P1,09/11/2019,20:30,Famalicao,Moreirense,3,3,D,2,0,H,17,9,14,5,15,10,2,2,3,3,1,0
94,P1,10/11/2019,15:00,Maritimo,Portimonense,1,1,D,0,1,A,15,10,4,2,25,21,3,1,4,6,0,0
95,P1,10/11/2019,15:00,Pacos Ferreira,Tondela,1,0,H,1,0,H,9,13,2,5,24,24,3,5,5,2,1,1
96,P1,10/11/2019,18:30,Sp Lisbon,Belenenses,2,0,H,0,0,D,19,9,5,3,15,18,6,5,4,3,0,0
97,P1,10/11/2019,20:00,Guimaraes,Sp Braga,0,2,A,0,1,A,14,9,2,5,17,16,11,2,5,2,0,0
98,P1,10/11/2019,21:00,Boavista,Porto,0,1,A,0,1,A,7,9,1,1,14,16,3,6,3,1,0,0
99,P1,29/11/2019,20:30,Santa Clara,Boavista,1,2,A,0,2,A,15,17,2,7,17,19,10,2,2,2,0,0
100,P1,30/11/2019,15:30,Moreirense,Aves,3,2,H,2,1,H,18,12,5,3,11,18,11,5,1,2,0,1
101,P1,30/11/2019,18:00,Benfica,Maritimo,4,0,H,3,0,H,12,12,9,1,12,13,4,3,3,2,1,0
102,P1,30/11/2019,20:30,Portimonense,Famalicao,2,1,H,1,0,H,12,12,5,4,21,17,6,3,1,1,0,0
103,P1,01/12/2019,15:00,Tondela,Belenenses,0,1,A,0,0,D,15,11,3,3,14,16,8,7,2,3,0,0
104,P1,01/12/2019,17:30,Setubal,Guimaraes,1,1,D,0,0,D,17,13,4,3,16,15,10,7,2,1,0,0
