,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
46,B1,10/09/17,Mechelen,Oostende,1,1,D,0,0,D,11,9,6,3,22,26,9,2,2,3,1,0
47,B1,10/09/17,Standard,Charleroi,0,0,D,0,0,D,5,6,3,4,23,19,5,3,3,2,0,0
48,B1,15/09/17,Club Brugge,Mechelen,2,0,H,2,0,H,13,15,6,6,25,18,3,11,3,2,0,0
49,B1,16/09/17,Charleroi,Waasland-Beveren,2,2,D,0,0,D,13,9,5,5,16,17,3,2,1,0,0,0
50,B1,16/09/17,Kortrijk,Anderlecht,2,2,D,0,1,A,5,8,3,6,29,29,4,11,2,3,0,0
51,B1,16/09/17,Lokeren,Antwerp,1,1,D,0,1,A,14,7,5,2,13,23,11,2,1,3,0,0
52,B1,16/09/17,St Truiden,Genk,2,1,H,0,0,D,10,8,7,4,17,12,2,5,5,2,0,0
53,B1,17/09/17,Eupen,Standard,1,1,D,1,1,D,8,9,4,6,22,22,3,7,3,5,0,0
54,B1,17/09/17,Oostende,Gent,0,2,A,0,1,A,11,6,4,5,11,21,9,7,0,3,0,0
55,B1,17/09/17,Waregem,Mouscron,2,1,H,0,1,A,11,8,4,2,20,16,11,2,3,3,0,1
56,B1,22/09/17,Antwerp,Kortrijk,3,0,H,2,0,H,10,9,4,3,20,11,4,8,2,2,0,0
57,B1,23/09/17,Genk,Oostende,1,1,D,1,0,H,11,9,5,4,16,20,5,3,2,3,0,0
58,B1,23/09/17,Mechelen,St Truiden,2,0,H,1,0,H,7,3,3,1,31,18,6,2,4,1,1,0
59,B1,23/09/17,Mouscron,Eupen,3,2,H,1,2,A,7,8,4,6,21,21,4,5,4,3,1,0
60,B1,23/09/17,Waasland-Beveren,Anderlecht,1,2,A,1,0,H,15,13,11,8,15,24,12,5,2,4,0,0
61,B1,24/09/17,Charleroi,Club Brugge,1,2,A,0,0,D,8,10,4,6,15,18,4,5,2,4,0,0
62,B1,24/09/17,Gent,Waregem,0,1,A,0,1,A,8,3,4,1,14,19,7,3,4,2,0,0
63,B1,24/09/17,Standard,Lokeren,2,1,H,0,1,A,20,2,8,2,24,10,5,3,2,5,1,1
64,B1,29/09/17,St Truiden,Charleroi,0,1,A,0,0,D,14,9,6,4,13,22,5,5,2,3,0,0
65,B1,30/09/17,Eupen,Genk,3,3,D,2,0,H,10,10,6,5,21,22,4,3,2,2,0,0
66,B1,30/09/17,Kortrijk,Oostende,1,2,A,1,0,H,13,10,7,8,16,22,13,4,1,1,1,0
67,B1,30/09/17,Mouscron,Mechelen,2,2,D,2,0,H,6,15,2,9,17,16,0,9,3,3,0,0
68,B1,30/09/17,Waasland-Beveren,Antwerp,3,0,H,0,0,D,11,15,5,8,19,16,3,3,2,1,0,0
69,B1,01/10/17,Anderlecht,Standard,1,0,H,0,0,D,14,7,6,0,17,17,4,3,2,1,0,0
70,B1,01/10/17,Club Brugge,Gent,2,1,H,1,1,D,15,4,6,2,16,20,4,5,2,1,0,0
71,B1,01/10/17,Waregem,Lokeren,1,3,A,0,1,A,21,10,11,4,19,21,11,1,1,0,0,0
72,B1,13/10/17,Mechelen,Anderlecht,3,4,A,1,4,A,10,7,4,4,12,21,6,3,1,4,0,0
73,B1,14/10/17,Charleroi,Eupen,2,2,D,1,1,D,8,5,6,3,20,15,8,4,2,5,0,0
74,B1,14/10/17,Genk,Mouscron,1,1,D,0,1,A,18,4,3,4,13,17,20,2,2,3,0,0
75,B1,14/10/17,Gent,Waasland-Beveren,2,0,H,0,0,D,12,5,6,0,17,16,7,1,2,2,0,1
76,B1,14/10/17,Lokeren,St Truiden,1,1,D,0,0,D,13,9,6,7,17,24,11,2,1,5,0,1
77,B1,15/10/17,Antwerp,Waregem,3,0,H,2,0,H,6,5,2,2,14,12,3,5,2,3,0,1
