,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
0,B1,27/07/2018,Standard,Gent,3,2,H,1,1,D,10,11,8,5,22.0,18.0,2,5,2,3,0,0
1,B1,28/07/2018,Kortrijk,Anderlecht,1,4,A,0,2,A,8,11,1,6,22.0,19.0,6,2,2,1,0,0
2,B1,28/07/2018,Oostende,Mouscron,2,1,H,0,1,A,11,6,5,2,22.0,21.0,4,0,4,5,0,2
3,B1,28/07/2018,St Truiden,Cercle Brugge,0,0,D,0,0,D,9,10,3,6,23.0,16.0,2,5,2,3,0,0
4,B1,28/07/2018,Waregem,Waasland-Beveren,2,2,D,1,0,H,8,6,5,4,19.0,18.0,5,4,3,2,0,0
5,B1,29/07/2018,Charleroi,Antwerp,0,1,A,0,1,A,10,6,5,3,18.0,15.0,7,3,1,2,0,0
6,B1,29/07/2018,Club Brugge,Eupen,5,2,H,3,0,H,12,9,8,5,12.0,16.0,4,4,0,4,0,1
7,B1,29/07/2018,Lokeren,Genk,0,4,A,0,2,A,5,20,1,7,14.0,8.0,2,9,1,0,1,0
8,B1,03/08/2018,Waasland-Beveren,Standard,0,0,D,0,0,D,7,19,4,11,15.0,11.0,3,10,3,1,0,1
9,B1,04/08/2018,Antwerp,Kortrijk,0,0,D,0,0,D,24,0,12,0,14.0,21.0,9,1,1,2,0,0
10,B1,04/08/2018,Cercle Brugge,Lokeren,3,2,H,2,1,H,18,7,10,3,13.0,13.0,5,0,2,4,0,0
11,B1,04/08/2018,Eupen,Charleroi,1,4,A,1,2,A,11,11,6,9,12.0,14.0,3,3,1,0,1,0
12,B1,04/08/2018,Gent,Waregem,1,1,D,0,0,D,12,5,3,3,15.0,19.0,9,4,3,3,0,0
13,B1,05/08/2018,Anderlecht,Oostende,5,2,H,0,0,D,11,6,5,2,18.0,21.0,6,1,2,2,0,0
14,B1,05/08/2018,Genk,St Truiden,1,1,D,0,0,D,19,9,9,2,12.0,16.0,9,2,0,5,0,0
15,B1,05/08/2018,Mouscron,Club Brugge,0,1,A,0,0,D,14,9,3,4,16.0,7.0,6,5,1,1,0,1
16,B1,10/08/2018,Club Brugge,Kortrijk,3,0,H,2,0,H,12,3,6,2,18.0,24.0,8,5,1,1,0,0
17,B1,11/08/2018,Mouscron,Antwerp,0,1,A,0,0,D,1,19,0,6,9.0,17.0,1,5,1,2,0,0
18,B1,11/08/2018,St Truiden,Lokeren,1,1,D,0,0,D,20,4,6,2,12.0,22.0,7,2,0,6,0,0
19,B1,11/08/2018,Standard,Cercle Brugge,0,0,D,0,0,D,8,7,1,2,18.0,19.0,7,0,2,3,0,0
20,B1,11/08/2018,Waregem,Eupen,4,0,H,2,0,H,16,6,11,4,11.0,18.0,5,3,0,3,0,0
