,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
26,B1,24/08/2020,19:45,St Truiden,Oostende,0,0,D,0,0,D,9,13,1,2,12,26,4,5,1,7,1,1
27,B1,28/08/2020,19:45,Oostende,Anderlecht,2,2,D,2,1,H,11,13,5,5,12,14,5,4,3,3,0,0
28,B1,29/08/2020,15:15,Eupen,St Truiden,1,1,D,1,0,H,5,17,3,4,25,14,4,5,4,4,1,0
29,B1,29/08/2020,17:30,Cercle Brugge,Kortrijk,0,1,A,0,0,D,9,11,1,2,18,16,5,11,2,3,0,0
30,B1,29/08/2020,17:30,Waasland-Beveren,Oud-Heverlee Leuven,1,3,A,0,1,A,16,12,4,7,12,15,4,6,1,1,1,0
31,B1,29/08/2020,19:45,Mouscron,Waregem,0,1,A,0,0,D,8,9,3,2,14,10,5,4,2,1,0,0
32,B1,30/08/2020,12:30,Genk,Club Brugge,1,2,A,0,1,A,10,14,2,5,18,15,1,5,4,3,0,0
33,B1,30/08/2020,15:00,Beerschot VA,Standard,0,3,A,0,1,A,20,14,5,8,14,12,7,5,3,1,0,0
34,B1,30/08/2020,17:15,Charleroi,Antwerp,2,0,H,1,0,H,17,9,8,2,12,6,5,3,4,3,0,1
35,B1,30/08/2020,19:45,Gent,Mechelen,1,0,H,1,0,H,15,13,7,3,15,16,3,2,2,1,0,0
36,B1,11/09/2020,19:45,Eupen,Gent,2,1,H,1,0,H,17,19,7,6,8,19,4,5,3,3,0,1
37,B1,12/09/2020,15:15,Mechelen,Oostende,0,1,A,0,0,D,4,11,0,3,19,16,5,10,5,2,0,0
38,B1,12/09/2020,17:30,Oud-Heverlee Leuven,Standard,1,0,H,0,0,D,12,17,3,3,19,16,1,3,2,4,0,1
39,B1,12/09/2020,19:45,Club Brugge,Waasland-Beveren,4,1,H,2,1,H,18,7,9,4,17,4,5,2,1,2,0,0
40,B1,13/09/2020,12:30,Anderlecht,Cercle Brugge,2,0,H,1,0,H,15,8,6,1,11,20,7,3,1,4,0,0
41,B1,13/09/2020,15:00,St Truiden,Antwerp,2,3,A,2,2,D,10,14,3,6,15,16,3,4,3,4,1,1
42,B1,13/09/2020,17:15,Waregem,Charleroi,0,2,A,0,0,D,8,11,1,4,13,12,3,2,0,1,0,0
43,B1,13/09/2020,19:45,Kortrijk,Mouscron,3,0,H,0,0,D,17,9,8,2,15,9,8,1,2,2,0,2
44,B1,14/09/2020,19:45,Beerschot VA,Genk,5,2,H,1,1,D,12,6,7,3,16,17,5,3,0,4,0,2
45,B1,18/09/2020,19:45,Charleroi,Beerschot VA,3,1,H,1,0,H,14,11,4,2,11,11,7,1,0,1,0,0
46,B1,19/09/2020,15:15,Oostende,Oud-Heverlee Leuven,3,1,H,1,0,H,17,15,4,6,19,11,11,2,4,2,0,0
47,B1,19/09/2020,17:30,Mouscron,Gent,0,1,A,0,1,A,15,14,3,7,12,5,11,3,3,0,0,0
48,B1,19/09/2020,19:45,Waasland-Beveren,Anderlecht,2,4,A,0,2,A,14,17,6,7,16,11,5,7,4,1,0,0
49,B1,20/09/2020,12:30,Waregem,Club Brugge,0,6,A,0,4,A,9,14,4,7,10,12,2,4,1,1,0,0
50,B1,20/09/2020,15:00,Standard,Kortrijk,2,1,H,2,1,H,16,2,5,1,17,21,6,3,0,3,0,0
51,B1,20/09/2020,17:15,Genk,Mechelen,3,1,H,1,1,D,11,18,4,5,11,17,1,4,0,1,0,0
52,B1,20/09/2020,19:45,Antwerp,Eupen,2,2,D,0,1,A,16,11,5,3,6,15,9,4,2,6,0,0
53,B1,21/09/2020,19:45,Cercle Brugge,St Truiden,3,0,H,2,0,H,13,14,6,2,15,17,5,4,1,3,0,0
54,B1,25/09/2020,19:45,Kortrijk,Antwerp,1,3,A,1,0,H,15,14,5,3,24,6,6,2,2,0,0,0
55,B1,26/09/2020,15:15,Beerschot VA,Waasland-Beveren,3,2,H,1,2,A,19,5,6,3,16,9,10,0,1,2,0,0
56,B1,26/09/2020,17:30,Mechelen,St Truiden,2,0,H,0,0,D,13,7,5,2,16,16,3,6,3,6,0,0
57,B1,26/09/2020,19:45,Gent,Oud-Heverlee Leuven,2,3,A,0,2,A,24,10,6,3,10,11,8,4,2,3,0,0
