,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,B1,26/07/2019,19:30,Genk,Kortrijk,2,1,H,0,1,A,10,8,2,4,7,22,6,2,0,1,0,0
1,B1,27/07/2019,17:00,Cercle Brugge,Standard,0,2,A,0,0,D,13,14,5,9,16,15,3,7,2,2,1,0
2,B1,27/07/2019,19:00,St Truiden,Mouscron,0,1,A,0,1,A,10,10,4,6,10,21,5,5,2,4,0,0
3,B1,27/07/2019,19:00,Waregem,Mechelen,0,2,A,0,1,A,7,10,2,5,14,21,4,2,3,1,0,0
4,B1,27/07/2019,19:30,Waasland-Beveren,Club Brugge,1,3,A,1,1,D,7,25,2,22,18,12,1,14,3,1,0,0
5,B1,28/07/2019,13:30,Anderlecht,Oostende,1,2,A,1,1,D,15,8,6,6,12,17,5,2,1,3,0,0
6,B1,28/07/2019,17:00,Charleroi,Gent,1,1,D,0,0,D,7,5,4,4,20,21,5,6,0,2,0,0
7,B1,28/07/2019,19:00,Eupen,Antwerp,1,4,A,1,1,D,12,14,3,8,18,10,3,10,1,2,0,0
8,B1,02/08/2019,19:30,Club Brugge,St Truiden,6,0,H,4,0,H,16,4,10,2,19,12,6,2,1,3,1,0
9,B1,03/08/2019,17:00,Standard,Waregem,4,0,H,2,0,H,16,3,7,1,19,18,4,2,0,2,0,1
10,B1,03/08/2019,19:00,Kortrijk,Charleroi,1,1,D,0,1,A,7,11,4,6,21,18,10,3,1,2,0,0
11,B1,03/08/2019,19:00,Oostende,Cercle Brugge,3,1,H,2,1,H,11,9,7,4,9,18,3,2,0,2,0,1
12,B1,03/08/2019,19:30,Mechelen,Genk,3,1,H,1,1,D,11,9,5,5,14,13,5,4,1,0,0,0
13,B1,04/08/2019,13:30,Gent,Eupen,6,1,H,4,0,H,18,8,11,5,13,13,6,2,0,2,0,0
14,B1,04/08/2019,17:00,Mouscron,Anderlecht,0,0,D,0,0,D,7,9,2,3,15,18,4,4,2,4,0,0
15,B1,04/08/2019,19:00,Antwerp,Waasland-Beveren,4,1,H,2,1,H,15,10,11,6,20,11,6,4,0,2,0,0
