,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,N1,02/08/2019,19:00,Zwolle,Willem II,1,3,A,1,1,D,9,17,2,8,10,6,2,9,1,1,0,0
1,N1,03/08/2019,17:30,FC Emmen,Groningen,0,1,A,0,0,D,7,10,2,4,10,5,6,7,2,2,0,0
2,N1,03/08/2019,17:30,Vitesse,Ajax,2,2,D,1,1,D,13,26,3,9,15,13,0,9,3,3,1,0
3,N1,03/08/2019,19:45,Twente,PSV Eindhoven,1,1,D,1,0,H,3,16,2,5,10,15,0,7,1,1,0,0
4,N1,03/08/2019,19:45,VVV Venlo,Waalwijk,3,1,H,0,1,A,11,15,6,3,12,12,2,3,2,3,0,0
5,N1,04/08/2019,11:15,Heracles,Heerenveen,0,4,A,0,3,A,14,13,4,6,11,12,4,2,1,2,0,0
6,N1,04/08/2019,13:30,Feyenoord,Sparta Rotterdam,2,2,D,0,0,D,15,13,6,5,9,17,5,3,2,2,0,0
7,N1,04/08/2019,15:45,Den Haag,Utrecht,2,4,A,2,2,D,12,18,5,6,8,14,5,5,2,1,0,0
8,N1,04/08/2019,19:00,AZ Alkmaar,For Sittard,4,0,H,0,0,D,21,5,10,1,8,2,14,1,1,1,0,0
9,N1,09/08/2019,19:00,Sparta Rotterdam,VVV Venlo,4,1,H,0,1,A,17,6,8,2,13,10,2,4,2,2,0,0
10,N1,10/08/2019,17:30,Groningen,Twente,1,3,A,0,0,D,9,7,4,4,15,10,3,0,3,2,2,0
11,N1,10/08/2019,18:45,Ajax,FC Emmen,5,0,H,1,0,H,32,5,12,0,15,8,7,3,0,1,0,0
12,N1,10/08/2019,19:45,Willem II,Vitesse,0,2,A,0,0,D,7,17,1,10,10,12,4,7,2,2,0,0
13,N1,11/08/2019,11:15,For Sittard,Heracles,1,1,D,0,0,D,16,17,3,5,13,18,4,12,2,4,0,0
14,N1,11/08/2019,13:30,Heerenveen,Feyenoord,1,1,D,0,1,A,12,6,6,3,15,14,1,1,0,0,0,0
15,N1,11/08/2019,13:30,Waalwijk,AZ Alkmaar,0,2,A,0,2,A,12,13,3,6,10,8,9,6,2,1,1,0
16,N1,11/08/2019,15:45,Utrecht,Zwolle,3,1,H,0,1,A,18,8,9,4,13,11,11,3,2,1,0,0
17,N1,11/08/2019,19:00,PSV Eindhoven,Den Haag,3,1,H,1,1,D,25,4,14,2,4,9,12,1,1,0,0,0
