,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
0,G1,24/08/2019,17:00,Lamia,Panathinaikos,1,1,D,1,1,D,5,8,2,3,14,13,6,6,2,3,0,0
1,G1,24/08/2019,19:00,Aris,OFI Crete,1,1,D,0,1,A,12,6,8,2,18,12,7,1,1,4,0,0
2,G1,24/08/2019,19:30,Olympiakos,Asteras Tripolis,1,0,H,1,0,H,12,8,9,4,11,12,4,1,0,0,0,0
3,G1,25/08/2019,17:00,Atromitos,Larisa,1,1,D,1,1,D,12,7,6,3,16,19,7,2,2,5,0,0
4,G1,25/08/2019,17:15,Panionios,Volos NFC,1,2,A,0,1,A,5,7,2,5,15,15,7,2,2,2,0,0
5,G1,25/08/2019,18:00,PAOK,Panetolikos,2,1,H,1,0,H,14,6,7,1,12,10,6,2,1,2,0,0
6,G1,25/08/2019,19:30,AEK,Xanthi,1,2,A,0,0,D,8,4,1,3,19,17,3,3,4,4,1,0
7,G1,31/08/2019,17:00,Panetolikos,Xanthi,1,2,A,0,0,D,6,5,2,3,9,12,5,0,1,1,0,0
8,G1,31/08/2019,17:15,Panathinaikos,OFI Crete,1,3,A,0,1,A,5,9,3,4,24,14,1,1,6,3,1,0
9,G1,31/08/2019,19:30,Volos NFC,Aris,1,0,H,0,0,D,9,11,4,6,14,10,1,8,0,1,0,0
10,G1,01/09/2019,17:00,PAOK,Panionios,2,1,H,1,0,H,9,1,5,1,12,16,9,2,1,3,0,0
11,G1,01/09/2019,17:15,Larisa,Olympiakos,0,1,A,0,1,A,4,6,1,3,10,22,1,8,2,2,0,0
12,G1,01/09/2019,18:00,Lamia,Atromitos,2,2,D,1,1,D,8,11,5,4,18,15,5,6,2,2,0,0
13,G1,01/09/2019,19:30,Asteras Tripolis,AEK,2,3,A,1,1,D,4,11,2,5,19,12,3,7,4,4,0,0
14,G1,14/09/2019,17:00,Atromitos,PAOK,2,3,A,1,2,A,8,9,2,5,14,18,2,5,3,1,0,0
15,G1,14/09/2019,17:15,OFI Crete,Panetolikos,3,1,H,0,0,D,14,3,8,2,14,9,2,4,2,0,0,1
16,G1,14/09/2019,19:30,Olympiakos,Volos NFC,5,0,H,1,0,H,17,6,7,2,18,13,5,3,2,4,0,1
17,G1,15/09/2019,17:00,Xanthi,Asteras Tripolis,2,1,H,1,0,H,5,11,4,6,13,13,3,5,0,3,0,0
