,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
0,G1,25/08/2018,AEK,Giannina,2.0,0.0,H,1,0,H,17.0,8.0,11.0,2.0,18.0,22.0,2.0,3.0,2.0,4.0,0.0,0.0
1,G1,25/08/2018,Apollon,Larisa,0.0,1.0,A,0,1,A,7.0,5.0,0.0,3.0,16.0,20.0,5.0,2.0,2.0,4.0,0.0,0.0
2,G1,25/08/2018,Panetolikos,Atromitos,1.0,2.0,A,1,1,D,6.0,14.0,4.0,7.0,13.0,22.0,4.0,4.0,3.0,4.0,0.0,0.0
3,G1,25/08/2018,PAOK,Asteras Tripolis,1.0,0.0,H,0,0,D,12.0,10.0,4.0,4.0,9.0,19.0,4.0,6.0,2.0,4.0,0.0,0.0
4,G1,26/08/2018,Olympiakos,Levadeiakos,1.0,0.0,H,0,0,D,21.0,4.0,9.0,2.0,14.0,26.0,8.0,0.0,1.0,7.0,0.0,0.0
5,G1,26/08/2018,Panionios,OFI Crete,2.0,2.0,D,2,2,D,15.0,9.0,9.0,6.0,22.0,16.0,9.0,3.0,4.0,2.0,0.0,0.0
6,G1,26/08/2018,Xanthi,Panathinaikos,0.0,1.0,A,0,0,D,7.0,9.0,1.0,4.0,23.0,16.0,1.0,2.0,2.0,4.0,1.0,0.0
7,G1,27/08/2018,Lamia,Aris,0.0,3.0,A,0,0,D,11.0,11.0,6.0,5.0,15.0,21.0,5.0,4.0,3.0,2.0,0.0,0.0
8,G1,01/09/2018,Asteras Tripolis,AEK,0.0,1.0,A,0,1,A,4.0,6.0,1.0,3.0,18.0,22.0,1.0,7.0,2.0,4.0,0.0,0.0
9,G1,01/09/2018,Atromitos,Xanthi,0.0,0.0,D,0,0,D,6.0,6.0,1.0,2.0,13.0,22.0,5.0,3.0,2.0,4.0,0.0,0.0
10,G1,01/09/2018,Panathinaikos,Lamia,3.0,1.0,H,1,1,D,6.0,7.0,4.0,2.0,19.0,13.0,2.0,1.0,2.0,3.0,0.0,0.0
11,G1,02/09/2018,Aris,Larisa,2.0,0.0,H,0,0,D,12.0,7.0,7.0,5.0,17.0,24.0,5.0,2.0,1.0,6.0,0.0,0.0
12,G1,02/09/2018,Olympiakos,Giannina,5.0,0.0,H,2,0,H,17.0,7.0,10.0,5.0,18.0,27.0,4.0,2.0,1.0,4.0,0.0,0.0
13,G1,02/09/2018,Panionios,PAOK,0.0,1.0,A,0,0,D,8.0,7.0,6.0,7.0,11.0,13.0,3.0,4.0,0.0,2.0,0.0,0.0
14,G1,03/09/2018,Levadeiakos,Apollon,1.0,0.0,H,0,0,D,16.0,8.0,6.0,2.0,19.0,16.0,5.0,1.0,3.0,2.0,1.0,0.0
15,G1,03/09/2018,Panetolikos,OFI Crete,2.0,1.0,H,1,0,H,6.0,7.0,3.0,5.0,23.0,24.0,2.0,5.0,5.0,8.0,0.0,0.0
16,G1,15/09/2018,AEK,Panionios,4.0,0.0,H,1,0,H,24.0,4.0,14.0,1.0,13.0,16.0,7.0,0.0,0.0,1.0,0.0,0.0
17,G1,15/09/2018,Apollon,Giannina,1.0,2.0,A,0,1,A,9.0,6.0,6.0,6.0,27.0,24.0,1.0,6.0,3.0,4.0,0.0,1.0
18,G1,15/09/2018,OFI Crete,PAOK,1.0,3.0,A,1,2,A,6.0,8.0,3.0,3.0,16.0,15.0,1.0,3.0,4.0,3.0,0.0,0.0
19,G1,16/09/2018,Atromitos,Lamia,1.0,0.0,H,1,0,H,11.0,10.0,6.0,5.0,21.0,20.0,6.0,3.0,1.0,2.0,0.0,1.0
20,G1,16/09/2018,Larisa,Panathinaikos,1.0,3.0,A,0,1,A,6.0,9.0,3.0,5.0,24.0,17.0,5.0,3.0,5.0,2.0,0.0,0.0
21,G1,16/09/2018,Olympiakos,Asteras Tripolis,2.0,1.0,H,1,0,H,12.0,8.0,8.0,4.0,13.0,16.0,2.0,4.0,2.0,2.0,0.0,0.0
22,G1,16/09/2018,Xanthi,Panetolikos,1.0,1.0,D,1,1,D,14.0,3.0,5.0,2.0,24.0,14.0,10.0,0.0,3.0,2.0,0.0,0.0
23,G1,17/09/2018,Aris,Levadeiakos,2.0,0.0,H,1,0,H,8.0,10.0,4.0,4.0,19.0,26.0,4.0,3.0,3.0,4.0,0.0,0.0
