,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HFKC,AFKC,HC,AC,HY,AY,HR,AR
35,G1,24/09/17,AEK,Olympiakos,3,2,H,0.0,1.0,A,17.0,6.0,11.0,3.0,10.0,24.0,7.0,2.0,3.0,5.0,1.0,1.0
36,G1,24/09/17,Kerkyra,Levadeiakos,1,1,D,0.0,1.0,A,15.0,6.0,5.0,2.0,11.0,16.0,6.0,3.0,3.0,2.0,0.0,1.0
37,G1,24/09/17,Panionios,Larisa,4,1,H,1.0,0.0,H,20.0,6.0,9.0,2.0,14.0,12.0,10.0,1.0,2.0,2.0,0.0,0.0
38,G1,24/09/17,PAOK,Giannina,1,0,H,0.0,0.0,D,19.0,4.0,7.0,2.0,19.0,16.0,7.0,0.0,0.0,4.0,0.0,0.0
39,G1,25/09/17,Xanthi,Asteras Tripolis,0,0,D,0.0,0.0,D,5.0,5.0,0.0,1.0,17.0,20.0,5.0,3.0,0.0,4.0,0.0,0.0
40,G1,30/09/17,Larisa,PAOK,1,1,D,0.0,1.0,A,10.0,7.0,4.0,4.0,19.0,19.0,3.0,2.0,4.0,5.0,0.0,1.0
41,G1,30/09/17,Panathinaikos,Giannina,2,0,H,2.0,0.0,H,6.0,6.0,2.0,2.0,20.0,18.0,4.0,4.0,3.0,3.0,0.0,0.0
42,G1,30/09/17,Platanias,Panetolikos,0,3,A,0.0,2.0,A,11.0,7.0,6.0,4.0,18.0,19.0,1.0,1.0,4.0,4.0,1.0,0.0
43,G1,01/10/17,Asteras Tripolis,AEK,2,0,H,0.0,0.0,D,5.0,8.0,4.0,3.0,23.0,20.0,4.0,4.0,4.0,4.0,0.0,0.0
44,G1,01/10/17,Kerkyra,Xanthi,0,2,A,0.0,0.0,D,5.0,9.0,3.0,5.0,17.0,18.0,2.0,8.0,3.0,2.0,1.0,0.0
45,G1,01/10/17,Levadeiakos,Apollon,2,1,H,0.0,1.0,A,13.0,5.0,7.0,2.0,17.0,20.0,6.0,5.0,1.0,4.0,0.0,0.0
46,G1,01/10/17,Olympiakos,Atromitos,0,1,A,0.0,0.0,D,15.0,5.0,4.0,1.0,13.0,12.0,8.0,2.0,1.0,4.0,0.0,0.0
47,G1,02/10/17,Lamia,Panionios,1,0,H,0.0,0.0,D,15.0,16.0,6.0,10.0,25.0,20.0,1.0,1.0,4.0,3.0,0.0,1.0
48,G1,14/10/17,Atromitos,Asteras Tripolis,1,0,H,1.0,0.0,H,16.0,3.0,6.0,1.0,19.0,18.0,5.0,1.0,2.0,5.0,0.0,2.0
49,G1,14/10/17,Giannina,Platanias,3,1,H,3.0,1.0,H,12.0,10.0,6.0,4.0,16.0,15.0,6.0,2.0,2.0,3.0,0.0,1.0
50,G1,14/10/17,Panionios,Olympiakos,3,4,A,1.0,3.0,A,12.0,17.0,7.0,11.0,13.0,20.0,3.0,8.0,3.0,3.0,0.0,0.0
51,G1,15/10/17,Apollon,Kerkyra,0,0,D,0.0,0.0,D,10.0,7.0,3.0,3.0,14.0,17.0,5.0,4.0,3.0,3.0,0.0,1.0
52,G1,15/10/17,Panetolikos,Levadeiakos,0,1,A,0.0,0.0,D,24.0,4.0,11.0,2.0,13.0,22.0,9.0,3.0,2.0,2.0,0.0,0.0
53,G1,15/10/17,PAOK,Lamia,4,0,H,2.0,0.0,H,13.0,4.0,5.0,1.0,25.0,17.0,3.0,1.0,3.0,2.0,0.0,1.0
54,G1,15/10/17,Xanthi,AEK,1,1,D,1.0,0.0,H,5.0,15.0,2.0,5.0,16.0,22.0,1.0,8.0,6.0,5.0,2.0,0.0
55,G1,16/10/17,Panathinaikos,Larisa,2,1,H,0.0,0.0,D,17.0,6.0,9.0,2.0,14.0,20.0,9.0,4.0,5.0,5.0,2.0,0.0
56,G1,21/10/17,Kerkyra,Panetolikos,1,0,H,0.0,0.0,D,7.0,8.0,3.0,5.0,23.0,24.0,1.0,5.0,6.0,4.0,0.0,0.0
57,G1,21/10/17,Lamia,Panathinaikos,1,1,D,1.0,0.0,H,6.0,9.0,2.0,5.0,19.0,24.0,5.0,4.0,5.0,3.0,0.0,0.0
58,G1,21/10/17,Levadeiakos,Giannina,1,1,D,0.0,1.0,A,14.0,10.0,5.0,6.0,10.0,19.0,4.0,5.0,3.0,1.0,0.0,0.0
59,G1,22/10/17,Apollon,Xanthi,2,0,H,1.0,0.0,H,8.0,7.0,7.0,5.0,25.0,17.0,4.0,4.0,6.0,3.0,0.0,0.0
60,G1,22/10/17,Asteras Tripolis,Panionios,0,1,A,0.0,0.0,D,13.0,9.0,7.0,4.0,15.0,15.0,5.0,1.0,4.0,4.0,0.0,0.0
61,G1,22/10/17,Olympiakos,PAOK,1,0,H,0.0,0.0,D,5.0,10.0,2.0,2.0,22.0,21.0,4.0,2.0,4.0,4.0,0.0,0.0
62,G1,22/10/17,Platanias,Larisa,0,1,A,0.0,1.0,A,11.0,5.0,5.0,4.0,21.0,12.0,10.0,5.0,2.0,4.0,0.0,0.0
63,G1,23/10/17,AEK,Atromitos,0,1,A,0.0,0.0,D,21.0,9.0,10.0,5.0,19.0,11.0,11.0,3.0,4.0,4.0,0.0,0.0
64,G1,28/10/17,Giannina,Kerkyra,2,1,H,0.0,0.0,D,12.0,5.0,6.0,1.0,17.0,15.0,7.0,0.0,0.0,2.0,0.0,0.0
65,G1,28/10/17,Larisa,Levadeiakos,1,0,H,0.0,0.0,D,16.0,10.0,4.0,3.0,22.0,19.0,0.0,4.0,5.0,2.0,0.0,0.0
66,G1,28/10/17,Panathinaikos,Olympiakos,1,0,H,0.0,0.0,D,12.0,8.0,5.0,4.0,22.0,22.0,8.0,2.0,3.0,2.0,0.0,0.0
67,G1,29/10/17,Lamia,Platanias,2,0,H,0.0,0.0,D,12.0,8.0,6.0,5.0,18.0,25.0,6.0,6.0,3.0,5.0,0.0,0.0
68,G1,29/10/17,Panetolikos,Apollon,1,1,D,1.0,0.0,H,13.0,3.0,8.0,2.0,21.0,25.0,5.0,1.0,3.0,3.0,0.0,0.0
69,G1,29/10/17,Panionios,AEK,0,1,A,0.0,0.0,D,5.0,14.0,1.0,9.0,23.0,27.0,1.0,6.0,5.0,5.0,0.0,0.0
70,G1,29/10/17,Xanthi,Atromitos,0,2,A,0.0,1.0,A,10.0,9.0,7.0,3.0,20.0,16.0,2.0,5.0,3.0,3.0,0.0,0.0
71,G1,30/10/17,PAOK,Asteras Tripolis,2,0,H,2.0,0.0,H,16.0,4.0,8.0,1.0,21.0,18.0,13.0,4.0,0.0,2.0,0.0,0.0
72,G1,04/11/17,Asteras Tripolis,Panathinaikos,1,0,H,0.0,0.0,D,9.0,4.0,5.0,2.0,15.0,19.0,8.0,5.0,4.0,3.0,0.0,0.0
73,G1,04/11/17,Atromitos,Panionios,0,0,D,0.0,0.0,D,13.0,8.0,7.0,3.0,24.0,24.0,6.0,6.0,2.0,1.0,0.0,0.0
74,G1,04/11/17,Panetolikos,Xanthi,1,3,A,0.0,3.0,A,11.0,6.0,7.0,5.0,19.0,22.0,6.0,0.0,3.0,4.0,0.0,0.0
75,G1,05/11/17,AEK,PAOK,1,0,H,1.0,0.0,H,3.0,4.0,2.0,1.0,14.0,32.0,3.0,4.0,4.0,8.0,1.0,2.0
76,G1,05/11/17,Apollon,Giannina,4,3,H,2.0,2.0,D,10.0,11.0,6.0,9.0,12.0,20.0,2.0,6.0,3.0,3.0,0.0,0.0
77,G1,05/11/17,Kerkyra,Larisa,1,1,D,1.0,1.0,D,11.0,5.0,3.0,2.0,24.0,21.0,5.0,4.0,3.0,8.0,0.0,0.0
78,G1,05/11/17,Olympiakos,Platanias,5,1,H,3.0,0.0,H,15.0,7.0,11.0,5.0,16.0,16.0,11.0,3.0,3.0,3.0,0.0,0.0
79,G1,06/11/17,Levadeiakos,Lamia,0,0,D,0.0,0.0,D,11.0,4.0,7.0,1.0,26.0,30.0,7.0,2.0,6.0,4.0,1.0,0.0
80,G1,18/11/17,Lamia,Kerkyra,1,1,D,1.0,1.0,D,21.0,9.0,6.0,4.0,20.0,12.0,12.0,5.0,3.0,5.0,0.0,2.0
81,G1,18/11/17,Larisa,Apollon,1,0,H,0.0,0.0,D,9.0,7.0,4.0,4.0,13.0,22.0,4.0,2.0,3.0,3.0,0.0,0.0
82,G1,18/11/17,Olympiakos,Levadeiakos,2,1,H,1.0,0.0,H,21.0,11.0,10.0,7.0,10.0,13.0,10.0,6.0,0.0,2.0,0.0,0.0
83,G1,19/11/17,Giannina,Panetolikos,1,1,D,1.0,0.0,H,15.0,6.0,5.0,2.0,19.0,19.0,7.0,2.0,1.0,7.0,0.0,0.0
84,G1,19/11/17,Panathinaikos,AEK,1,1,D,1.0,0.0,H,5.0,8.0,2.0,3.0,19.0,24.0,3.0,3.0,4.0,4.0,0.0,0.0
85,G1,19/11/17,Platanias,Asteras Tripolis,0,3,A,0.0,2.0,A,6.0,10.0,2.0,5.0,15.0,22.0,1.0,4.0,0.0,2.0,0.0,0.0
